"","cond","SID","value","article_number"
"384","social","s623","This shows that we humans need to pay more attention to the earth.  As the number of plastic items we throw away every day continues to rise, it poses a great danger to humans and other organisms.",67
"385","self","s624","Exercising by children could save $120 billion per year.",12
"386","social","s626","This article matters because it tells about the protein from plant which is healthier option",64
"387","social","s627","More children need to start exercising",12
"388","self","s628","This article is about alleviate post -exercise muscle achs.",40
"389","self","s629","Food wastage should be reduced, people are starving around the world.",20
"390","self","s630","the climatic change hits the bottom line of the companies",87
"391","social","s631","Being deaf makes you more likely to get into accidents in...well, everything. Obviously.",90
"392","social","s634","It shows a commentary on an aspect (walking) that people do every day.",36
"393","self","s635","A top chefs informs people if they want to stop wasting food buy what youre cooking tonight.",20
"394","self","s636","This will teach you the correct way to recycle items.",69
"395","self","s638","Article gives new information that encroached grasses are the main  reason for wildfires.",63
"396","social","s639","Enabling children to exercise for an hour before class makes them happier and more energetic.",86
"397","self","s640","I personally have the psychology of the Parents and Kids....",92
"398","self","s001","When trying to lose weight, it is important for me to remember to maintain a diet as well rather than just workout.",6
"399","self","s002","good development increases our country economical growth",61
"400","social","s003","Because garbage in the ocean is a huge issue that needs to be solved.",79
"401","social","s004","It turns out that when you add extra energy via heat to a complicated system, that energy has to go somewhere and it isn't good news for anyone.",15
"402","social","s005","Climate change and global warming may destroy historical heritage sites, such as the ancient place in the Mediterranean.",85
"403","social","s008","This could change the way we get our meat forever.",81
"404","self","s009","Some effective ways to recycle things",69
"405","social","s010","Ancient places in the Mediterranean might not survive global warming",85
"406","social","s012","Obesity can lead to heart disease.",108
"407","self","s014","I am very interested in maintaining my weight.",0
"408","social","s015","This is something that is happening all the time with China not recycling garbage it is just going to our landfills.",49
"409","social","s017","Several healthy practises at home are likely to reduce chances of heart attack.",84
"410","social","s018","It is warning people that climate change is real and it is happening now therefore people need to make some changes now if they do not want things to get worse.",91
"411","self","s019","The crisis of climate change not that distant. We all are already experiencing it. It is impacting us negatively so it's good news that the 3 campaign ads are spreading awareness.",95
"412","self","s020","A program aimed to provide children exercise and thus make them happier is being considered",86
"413","self","s021","The article is about the benefits of using alternatives to disposable cleaning products.",47
"414","social","s024","This talks about how a vegan diet can cause health problems.",26
"415","social","s025","This article matters to people I know as climate lawsuits will become more prevalent and as citizens, understanding these lawsuits will allow us to make more informed decisions as to where we live and work.",105
"416","social","s028","It is about marine mammals",101
"417","self","s030","A discussion from bid data to lab  grown meat and also to new candidacy for governor that are most important in recent times and so it is much needed  and so it matter s most personally",81
"418","social","s031","Food diet Kidney sones",46
"419","self","s032","This article describes the struggle of a cancer researcher for his own salvation and survival.",24
"420","self","s036","I want to protect my health",90
"421","social","s037","the climate change will impact the world's largest companies.",87
"422","social","s038","The spread of wild grass growth allows the chances of wildfires to be worse than they presently have been.",63
"423","self","s040","it is related to us because of wildlife",61
"424","social","s041","This article matters because some people that I know will love to take part in green living but don't know where or how to start.",57
"425","social","s042","there was been regular exercise has been associated with enhanced vaccination responses, lower numbers of exhausted/senescent T-cells, increased T-cell proliferative capacity, lower circulatory levels of inflammatory.",18
"426","self","s043","Side effects can occur even with simple supplements. A person needs to be cautious.",10
"427","social","s045","running ups levels of gut bacteria in mice that made them run faster",72
"428","self","s046","due to cause of the disaster like floods and climate change the people get the flood insurance in the change of climate increases",53
"429","self","s048","The true effects of antioxidants on muscle soreness post exercise.",40
"430","social","s049","It will keep them energized about renewable resources.",93
"431","self","s051","This seems like a touching story of a person remembering their Grandmother and it would be interesting to read.",70
"432","self","s052","This article is about wind turbines, drones, and climate change.",1
"433","social","s053","Campaign ads are more focused on global warming.",95
"434","self","s054","Exercise from an early age should be encouraged as it benefits a child's development.",86
"435","social","s055","The risks to your bones associated with cycling and swimming.",98
"436","self","s056","Recent study sheds doubts on the link between obesity and cardiovascular disease",108
"437","self","s057","Dogs are no longer dogs but treated as our children. In fact, many are treated better than children. Dogs have a place of prominence in the bed and usually root out another person if they don't get the bigger portion of the bed.",38
"438","self","s058","I should try to buy only enough produce as I need immediately.",20
"439","social","s062","Many of the people close to me care about their health and this article would be of interest to them because knowing that exercising will keep them healthier will make them feel good. There are also people who need a little push and by reading this article, they can be motivated.",56
"440","self","s063","Because they're going to help kill us all.",21
"441","self","s064","eating fish helps pregnant women and children",30
"442","social","s065","The article is about how climate change has influenced the elections.",75
"443","social","s066","The mice were too tired to keep moving after a big work out.",6
"444","self","s067","Because climate change should matter to literally everybody.",85
"445","social","s068","Places of history that climate change is affecting.",85
"446","self","s069","I think it's time to start switching to renewable energy, and as more people see the value in that, the better off this country will be.",105
"447","self","s070","Wow this is hopeful!",104
"448","social","s072","Flavonoids may protect against cancer and cardiovascular death",22
"449","social","s073","This article matter because people I know exercise and would be interested in this.",40
"450","social","s074","Climate change need to be addressed and it seems the younger generations are aware they are the voice that need to be heard the loudest as it affects their future.",109
"451","social","s075","it is real and we should alert this.",91
"452","self","s076","its about how global warming is negatively impacting our world",15
"453","social","s078","It matters because there are a lot of people I know that think just because they are getting older, then by default they won't be able to do much which doesn't have to be true.",76
"454","social","s079","because it's about climate",109
"455","self","s080","Disposable cleaning products can be more expensive and create more waste than their reusable counterparts.",47
"456","social","s081","we are not losing weight because we are eating too much",78
"457","self","s082","This article is about how avalanches are surpassing scientists' expectations and that this could be the beginning of something bigger.",45
"458","social","s083","Exercise before school can make kids happier and more energetic.",86
"459","self","s084","be careful what supplements you take",10
"460","social","s085","This article would affect people I know who don't want coal mining to continue because it's dirty and affects the environment adversely.",21
"461","self","s086","I want to remain alert and witty no matter my age.",14
"462","self","s089","I don't typically have holiday food waste, but solving the planet's climate problem is necessary for me and my family's offspring to have a bright future.",11
"463","social","s090","I have a relative who is vegan.",26
"464","social","s092","Technology might help with climate change.",81
"465","self","s093","Sleep apnea can kill you",106
"466","self","s095","You may think that you are recycling but it may not actually be happening",49
"467","social","s097","There might actually be a probiotic that can help with weight gain.",74
"468","social","s099","is it possible that motivation could be in our genetics?",56
"469","social","s100","This article is about the oil industry wanting change on car emissions rules.",29
"470","self","s101","Walking speed is a reflection of my culture - and I embrace it!!",36
"471","social","s103","What foods and liquids you can intake to avoid or prevent kidney stones.",46
"472","self","s104","This article matters to me because I have personally known people who have dealt with eating disorders.",96
"473","self","s106","This article matters to me because it reminds me of the dangers of excess weight in my life.",54
"474","social","s108","How government can't keep up with recovery funds of natural disasters.",13
"475","social","s110","Beware of process meat lead to cancer....",28
"476","self","s111","How plastic and paper bags both have their downsides and information about them.",57
"477","self","s112","Banning sugary drinks at a medical center was correlated with workers losing belly fat.",94
"478","self","s113","This article matter because I care for animals and people are trying to remove any kind of protection they have",89
"479","social","s114","This is important because we might all be in this situations soon if we don't do something about climate change.",97
"480","social","s115","Eating too much processed meats can cause breast cancer.",52
"481","social","s116","Fitness is helpful for gettting beter hand of you health. IT will do good for when you get older",34
"482","social","s117","yes maybe vitamin D is helpful",60
"483","self","s118","It seems dancing is more than just fun-- it's one of the most effective exercises to curb the aging process.",14
"484","self","s119","I drink a lot of soda.",4
"485","social","s120","Swedish girl becomes Greta Garbo of climate change",65
"486","self","s121","Climate change denial is dangerous to our society.",77
"487","social","s122","because you can help your partner if they have a eating disorder",96
"488","social","s123","Because I know people who exercise and diet to lose weight.",0
"489","self","s124","This article is about how plastic hurts the enviorment.",67
"490","social","s125","Everyone could use some advice on cleaning alternatives.",47
"491","social","s126","the climate change  make an urgent call to take action and to protest which makes a young people in global strike to take part.",27
"492","self","s127","If sugar patients avoid sweet.",4
"493","self","s130","This matters to me personally because I'd be interested to learn why certain supplements don't help to relieve muscle aches after exercise.",40
"494","self","s132","I'm worried about the effects of fire on the environment",7
"495","social","s133","Some groups aren't putting their head in the sand when it comes to climate change.",95
"496","social","s134","Going past your limits with exercise may increase the benefits of exercise at the cellular level.",56
"497","social","s136","This article matters to people I know because the benefits of dancing are helpful to brain function and quality of life.",14
"498","social","s137","The worlds largest companies are preparing to face up to one trillion spending in climate related risks, becoming more apparent within the next 5 years.",87
"499","social","s139","Eating disorders are serious,  and it's important for the person's support system to know how to help.",96
"500","social","s140","Because people I know are interested in climate change",91
"501","self","s141","This does not matter to me but makes me upset",17
"502","self","s143","Vitamins C and E , black tea antioxidants.",40
"503","self","s145","The increase in political campaign ads that focus on climate change.",95
"504","self","s146","A.I. plays a large part in my daily life and is only becoming more important.",104
"505","self","s147","The Senate has passed a bill that helps protect and preserve wilderness and wild lands.",19
"506","self","s149","Bacteria supplement level consumption.",72
"507","social","s150","This article matters to anyone that might be looking into an energy alternative solution, mainly homeowners.",83
"508","self","s151","Smoking is so bad for the human body. Staying fit with exercise, eating healthy and thinking positive is the very best a person can do",16
"509","social","s153","Taking Vitamin D during pregnancy may improve baby's tooth enamel",60
"510","self","s155","Consuming vitamin D during pregnancy can have a great effect on the baby's tooth enamel.",60
"511","social","s156","It is about the massive amounts of non-biodegradable pollutants we are creating by producing and using plastics in our everyday lives; tons since the 1950's.",67
"512","self","s157","The article about dancing may be best for the brain.",14
"513","social","s159","LOWER URIC ACID AND LOWER RISK OF GOUT",26
"514","self","s160","This is important because I would not want any natural disaster happening to us",45
"515","self","s161","ARTICLE ABOUT WEIGHT LOSS BY NOT TAKEING OF SUGAR",8
"516","social","s163","My vegan and vegetarian friends, you might want to read this. I'd rather y'all not have to deal with gout and if this helps you avoid it, great!",26
"517","social","s166","The article is about the Senator's proposal about giving Americans vouchers in order for them to be encouraged to purchase American-made cars that are electric and hybrid vehicles. This would help with Climate Change and lessen the carbon footprint of Americans.",73
"518","self","s167","Technology and business leaders gathered together in San Francisco to discuss topics such as big data, lab grown meat, and the candidacy for governor.",81
"519","self","s168","This is an article about our immune system.",100
"520","social","s170","this is about plastics on earth",67
"521","self","s172","The things kings of Egypt tried to do to prevent a climate disaster.",37
"522","social","s177","The oil industry has tried to push back on car emissions regulations",29
"523","self","s178","This explains why some people are more likely to struggle with skin infections than others.",80
"524","self","s184","People need help sometimes, and it's not shameful. People could use some ideas on how to help.",96
"525","social","s185","This article matters to people I know because it concerns health and diet.  The people I know, which is my family, are all concerned about their health and eating healthy.",46
"526","self","s186","We should carry a reusable bag and should carry our own cloth grocery bags.",55
"527","self","s187","Climate change is so important and this article matters to me, because scientists are trying to fight deniers with scientific facts. People who refuse to make any changes in their lifestyle and deny facts are harming humans and animals and it's horrible.",77
"528","social","s189","The health issues associated with eating deli meat",28
"529","social","s191","private company give vouchers to consumers to buy American-made electric and hybrid cars & trucks",73
"530","self","s192","This matters to me because I eat white meat and I don't want to increase my ""bad"" cholesterol levels.",50
"531","self","s193","Obesity is the main problem for the adults so avoid eating junk food had a healthy diet.",106
"532","self","s194","The Arctic Council was unable to issue a joint statement because there was US disagreement on climate change.",35
"533","self","s195","A 13-minute workout with weights might build strength.",48
"534","self","s196","It helps me help the earth",31
"535","social","s197","I find this article not interesting and i think its a waste of time",63
"536","self","s198","This article make hopeful and this relevant to my society.",81
"537","self","s200","It is the most important issues to be considered and it can be reduced with every individual contribution to reduce the carbon emmision",41
"538","social","s201","it's all about the money with these people. They don't care about the animals, the environment or future generations. it's all about getting money in THEIR pockets!",89
"539","self","s202","People should try to stop plastics",55
"540","social","s204","Supplements that seem too good to be true probably are to a deadly extent.",10
"541","social","s205","I'm not sure why this matters to anyone...not enough information in the headline.",71
"542","social","s206","Climate change is the threat for all level of sites.",85
"543","self","s207","I have struggled with counting calories to try to lose weight. This will be a total game changer, I just need to eat the good bits of food and not the bad.",8
"544","self","s208","handy guide helps you reduce your own carbon foot print",51
"545","social","s210","The trash zone in the ocean between Hawaii and California is growing exponentially.",79
"546","self","s211","This article is relevant to me because I have been wondering if there are any benefits to following fad diets or eating styles that other people are adopting. In this case, it shows that adopting a gluten-free diet can have downsides if you're not allergic to gluten.",66
"547","self","s212","strong immune system",100
"548","social","s214","check this out for some affordable cleaning products",47
"549","social","s215","Glad to see climate change is becoming the issue is should be in the political arena!",95
"550","social","s216","It is about how exercise can slow the aging of your immune system.",18
"551","self","s217","I hear so much about GMOs I think it is time for me to get more educated on them.",102
"552","social","s218","It tells the bag usage of grocery store",57
"553","self","s219","It matters because I have sometimes attempted weight loss",6
"554","social","s222","Vestas is committed to transforming sustainable energy into mainstream energy to help limit global CO2 emissions and combat the climate crisis. Last year, Vestas supported Green Friday as an alternative to Black Friday and through our initiative",1
"555","self","s223","This article is about statins and how taking them can increase the risk of staph skin infections.",80
"556","self","s224","Global warming is harming sites I might someday want to visit.",85
"557","social","s227","farmers market shopping with the chef tom helps customers get better food",20
"558","self","s230","The ocean is being affected by a toxic tide that normally occurs. This year it's more pronounced. A toxic tide would just keep me out of the water and would kill a lot of fish. That would affect my fishing and catch.",39
"559","self","s234","This is about a medical device that might be having adverse effects.",80
"560","social","s235","
People’s performance is those who have improved all types of training subject to you",84
"561","social","s236","This article matters because it includes important information about how moving and specializing has a positive impact on the brain's aging.",14
"562","self","s237","A TURN'S INTO SYMBOL FOR CLIMATIC ACTION",65
"563","self","s242","It talks about a widespread heatwave that occurred on four continents.",97
"564","self","s243","ANWR drilling could be on the horizon",61
"565","social","s246","This article is about the vaquita, an animal that is almost extinct.",101
"566","self","s248","Dancing always helps to keep you so energetic and it motivates you to achieve your goals, Physically It  helps to strengthen your bones.",14
"567","social","s249","low impact sports may not be enough to keep your bones healthy",98
"568","self","s250","This article matters to me personally because I am also the one who getting my protein from plants.",64
"569","social","s251","This article is about the downside of having a sweet tooth, regular consumption of sugary drinks raises the risk of tooth decay, obesity, fatty liver disease and other stuff.",4
"570","social","s255","It matters because it elaborates on how useful and beneficial it is adding exercise into your life.",56
"571","social","s257","it is about exercise and training",48
"572","self","s258","Global warming will destroy our life.",15
"573","social","s259","It explains the climate change cause and the disaster related crises.",99
"574","self","s260","The more weight you have on you the more likely you are to have cancer.",54
"575","social","s261","Reusable cleaning products",47
"576","self","s262","I try to always carry my own bags from home.",57
"577","social","s265","A story that environmental loss is a loss for the economy as well. If for no other reason, support climate action for a bright economy.",9
"578","self","s268","That using a cleaning product that is simple may not wok that great after all and is a waste of money",47
"579","social","s270","It's sounds horrible. we are going to face the worst things that would happen in the future",59
"580","self","s273","climate change and the environment matter the most to me because i love doing my part to help ensure the world has a future.",1
"581","social","s274","This is very important to the peoples",7
"582","social","s275","I have friends that work in the grocery business.",57
"583","self","s276","It was about the weight loss supplement was giving a huge effect of sexual function.",10
"584","self","s277","yes parents makes kids fat by giving too much junk foods",92
"585","self","s278","This is an interesting article about how fewer Americans are purchasing flood insurance despite the increase in flood risk due to climate change. I recommend reading it!",53
"586","social","s279","This article matters to people to help the Earth by consuming less.",31
"587","self","s280","It has a guide to show you how to reduce your carbon footprint.",51
"588","self","s281","An increased number of wildfires in remote parts of world increase fears about the dangers of climate change.",7
"589","social","s283","it is helpful for people whho stay in flood prone areas",25
"590","self","s287","This matters to me because I drink a lot of sugary drinks and it helps me think about cutting down my consumption of them.",32
"591","self","s288","This is important information for all who want to lower their risk of dying from heart disease and cancer. More good news for vegetarians such as myself.",22
"592","social","s292","Our advancing age may not cause us to physically slow down as much as we thought.",76
"593","social","s294","polluting the sea could affect the people i know. thus they are against the act of polluting the pacific ocean",79
"594","social","s295","Vaquita porpoises are endangered",101
"595","self","s297","It always worries me when I see homes being built in flood areas.",23
"596","social","s299","Oil industry's Secret campaign is trying to bend US car emissions rules",29
"597","social","s300","nuclear power and environmental issues are quite complicated.",51
"598","self","s301","It is about the climate change activist Greta.",65
"599","social","s303","If children are fat their would take the trouble",92
"600","self","s305","Climate change will lead to simultaneous disasters",99
"601","social","s307","they key to weight loss is moderation",8
"602","self","s308","About the preference in usage of plastic or paper bags in grocery store.",57
"603","self","s311","This article matters to me personally because climate change is a huge threat to the environment and to people.",41
"604","self","s313","It is about ancient places that might be harmed in the future.",85
"605","self","s314","Chef Tom Colicchio gives advice on food wastage and how to minimize it.",20
"606","social","s316","This article states that Senator Schumer has proposed a bill to incentivize people to buy more eco-friendly cars.",73
"607","self","s318","Even small children are now recognizing climate change.",109
"608","self","s319","This article is very attractive",70
"609","self","s320","It is about food control in our life",46
"610","self","s321","I am belong San Francisco",81
"611","social","s322","I know many people who have high blood pressure and would need something that could motivate them to work out, or at least make working out a more enjoyable, gamified experience.",58
"612","self","s324","Automakers and climate change.",71
"613","social","s326","I like political oriented articles. This article is about Bill pass by the senate which is about Sweeping Land conservation I think this is a good move to protect our environment and save the nature.",19
"614","social","s327","plastic recycling is not real recycled",49
"615","social","s328","Women that eat processed meats are more likely to get breast cancer.",52
"616","social","s329","Again it just says ""Snippet"" for the headline just like headline number 9.  Also on headline 8 it jumped ahead before I could finish.",5
"617","self","s330","It's so crazy to build homes where they know they'll be flooded. Is there a method to this madness? Who would live in these homes? I can't help but think somehow the taxpayers will get screwed.",23
"618","self","s331","Every one should has the responsible in the climate change.",71
"619","social","s335","Making know the people the tons of plastic the Great pacific Garbage patch is ballooning",79
"620","self","s337","The current, outgoing US administration has failed to take the dangers and costs related to climate change seriously. I feel it's important that others keep the issue in the spotlight, and get change done wherever it is possible. I support protests like this, which can pressure industry and states to take up action where the federal government has failed. The quicker the problems are addressed, both the cheaper and more progress can be made.",27
"621","social","s338","Lawsuits have been launched in Colorado by local governments regarding climate change.",105
"622","social","s344","This is really bad for our environment. We need to pay more attention on how we trash plastics on the street.",67
"623","self","s345","Ancient sites could be destroyed by global warming.",85
"624","social","s348","We need to use more of renewable energy and reduce climate change in the process",93
"625","social","s349","My mom thinks some meats are fine. This article might educate her.",50
"626","social","s352","This article is about how to reduce carbon footprint",51
"627","social","s353","This article is about climate changes in shift gears.",71
"628","self","s358","It was awareness to me",4
"629","self","s360","Walk is an essential work for all of the persons for their health. The main thing is where do we and walk and walk with whom? Americans feels walking with children is better one.",36
"630","social","s361","Regulators in Queensland have issued a permit to allow a disputed mine to be used as a coal resource.",21
"631","social","s363","I would matter to people interested in economy.
Article would mention a relation between global warming and American economy.",9
"632","social","s364","They want to know about climate change regarding schools.",109
"633","self","s368","The article is about Olympic Skier and also scientists that won a prize for mapping peat.",5
"634","self","s371","Since I spend time dancing, I can be sure this keeps my brain active and lively.",14
"635","social","s372","People I know as well as myself work out and I've always believed antioxidants were fairly good for the body day in and day out. It's good to think that my friends and I may not benefit from ingestion of antioxidants so we can figure out other ways to.",40
"636","self","s373","People who cut back certain foods lost weight.",8
"637","self","s375","A Hypothesis about a study that would ""Suggest"" that gut bacteria makes mammals run faster. It would convey the uncertainty since the observations were done in the Lab with mice. Mice have a similar metabolism and similar biological systems to humans so would try to relate those findings to humans. It would conclude that more studies are needed and that Human Studies would be necessary for a more definitive conclusion.",72
"638","social","s380","Flavonoids found in some plants can help reduce the risk of cancer and heart disease.",22
"639","social","s386","it is about obesity is the cause of sleep apnea",106
"640","self","s387","how record heat effects people around the world",97
"641","social","s390","older cyclists are not like most of the rest of us",18
"642","self","s394","every children must be safe in the world and children very like to me always",12
"643","social","s395","because of, it's information about a lifestyle.",84
"644","social","s396","Climate change of global warming.",95
"645","social","s399","Those with metabolic disorders causing obesity might benefit from a gut bacterium supplement.",74
"646","social","s400","It can affect our people's livelihood to a major extent.",89
"647","self","s401","Sugary drinks Will led to a shorter your life span But the expert say's There is no health benefits",32
"648","self","s402","Seems interesting and sounds good",30
"649","social","s403","controversy on the consequences of obesity",108
"650","social","s406","People I know eat meat and some eat a lot so knowing the effects it has on our health is something they would want to know.",50
"651","self","s411","the New York attorney general office alleged that Exxon deceived investors about the climate change and federal judge against in Massachusetts implausible one",3
"652","self","s412","breast cancer very danger disease for human .use tratment very use full medical history",104
"653","self","s414","A dog can help humans sleep well.",38
"654","self","s415","another climate activist, fighting to save the planet",65
"655","self","s418","This article is about A.I. helping with fighting Cancer.",104
"656","self","s419","climate change will bring more bad things",99
"657","social","s420","Reusable cleaning products will make effective and it will reduce the cost of buying.",47
"658","self","s421","I used to smoke but I no longer do and I became very health conscious since so this is good news for me.",16
"659","self","s422","The idea of kidney stones scares me, so this information is useful.",46
"660","social","s423","Food marketed to kids is junk and starts kids off on a path of poor dietary choices.",2
"661","self","s425","The government's slow response to disasters resulting from climate change could complicate coping with a disaster for me and other affected Americans.",13
"662","self","s432","This article is important to me because I like to find ways to spend less on groceries and food while still buying healthy food.",70
"663","self","s434","climate change issue is big issue in my country because i am also protest to the issue .",27
"664","social","s435","A personal opinion on climate change from a scientist expert in the ocean condition.",71
"665","social","s436","Gut Bacteria run faster and probably it would be work in people.",72
"666","self","s437","its really amazing news like creation is too good",103
"667","self","s439","









The article is about an unlikely culprit, deodorant, causing havoc on the environment along with the usual suspects, cars and trucks. 

",107
"668","social","s442","food which contain vitamin c and calcium must be avoided and sweat items like chocolates  to prevent from the kidney stone.",46
"669","self","s444","This article is about home been built in flood prone areas",23
"670","self","s445","muscles is to gain immune sysytem",18
"671","self","s446","It looks at the relationship between nuclear power and environmentalists are how some goals are common.",51
"672","social","s448","The article suggests that drinking sugary drinks is tied to shorter life, and that people should not consume any of these beverages because they offer no benefit.",32
"673","self","s449","The study with the game is very suitable for children.",86
"674","self","s450","The oil industry is trying to change fuel efficiency regulations.",29
"675","social","s453","this article is about flood worsen",53
"676","social","s454","You gotta be active all the time.",6
"677","self","s456","Use automakers as a solution of climate change",71
"678","self","s457","This article is about how sugary drinks are bad for your health and can lead to you dying at an earlier age.",32
"679","social","s460","This article matters because it highlights the link between climate change and dangerous wildfires, which have affected people I know in California and elsewhere; climate change is a major concern in general of people I know.",7
"680","social","s462","It's important for everyone to know what GMO is and what it means for us in order to help combat fear-mongering and misinformation.",102
"681","social","s463","this would raise awareness about more excessive meat eating",52
"682","social","s466","These are highlights from climate meetings and some tips",11
"683","social","s467","The metabolic disorders are not come to everyone. The people have this they blessed.",74
"684","social","s470","about reducing single use cleaning products.",47
"685","self","s471","I like to eat healthy and I really like tomatoes and spinach so this article would help me understand how nutrients change in these two foods when cooking them.",42
"686","social","s473","they should eat proteins to help in proteins",64
"687","self","s475","We gain more when we excersize because we eat more",78
"688","self","s478","This is about the information about the risk of global warming which may destroy some ancient places in the Mediterranean.",85
"689","social","s479","I think more people needs to know what we are doing to our land and how it is harmful",61
"690","self","s481","Dancing seems to help the brain more than walking or stretching.",14
"691","self","s482","This matters to me because I may have been tempted to try out disposable cleaning products for their convenience, but if they're less effective, more expensive (and add to garbage heaps, hurting the environment) then I'd rather stick with reusable cleaning products.",47
"692","self","s483","Despite solar power being used more than ever before, there is still a long way to go before it overcomes fossil fuels.",93
"693","social","s485","Some nutrients go up with cooking, some go down.",42
"694","self","s487","It matters to me more",54
"695","social","s488","is about floods, climate change and being safe",25
"696","self","s490","Recycling can make positive differences when practiced.",49
"697","social","s492","People need tips on how to help with climate change in their day to day life, and how to do this during the holidays would be helpful for everyone.  A lot of people get discouraged because they think there isn't anything they personally can do and that's just not the case.",11
"698","self","s493","Our world is in danger, because of climate change. And some people around the world toss waste in our oceans and streets",11
"699","social","s494","This article about hopeful",94
"700","social","s495","It is suggesting in investing in your own wind turbine and mentions another article on climate and korea",1
"701","self","s496","each and everyone should take care of it",27
"702","social","s497","This is an article about climate change and the impact on the election.",75
"703","social","s498","If you have a green energy provider in your area, it's probably a good idea to switch to it.  I know a lot of my friends are concerned about climate change, so it's useful that there are ways to help stave it off and go green.",83
"704","self","s499","eat quality foods, because flavonoidsin plant it is good for health and gain immunity",22
"705","social","s502","Its about clean power and the advantages of switching to this type of energy.",1
"706","self","s504","This article matters to me personally because I do not have flood insurance because I don't think it's likely for my particular area to be affected by this, however the information in this could very well relate to what occurs in the future for me and my household.",53
"707","social","s505","This article reported on the deadly glacier in Tibet that might cause due to climate change",45
"708","social","s506","More places are starting to sue oil companies. They once were suing more coastal oil companies but now also those inland.",105
"709","self","s507","anything that could make me more productive is interesting to me",72
"710","self","s512","How nuclear power effects the environment",51
"711","social","s513","This is just a touching story that might make people feel good",70
"712","self","s514","I am so worried about climate change and I fear we are not addressing it in a timely manner",45
"713","self","s515","Bananas would be ok for sport drinks in other to gain enough carbohydrates.",68
"714","social","s516","this article about bone pressure activities research",98
"715","social","s517","It gives me more information about exercise",0
"716","self","s520","This article matters to me in the sense that we can eliminate unhealthy lifestyles by promoting healthy lifestyles through programs such as BOKS program.",86
"717","self","s522","Climate change making natural disasters like avalanches more dangerous, bigger, faster.",45
"718","self","s526","Walking can be very healthy for your family, it is important to keep on your feet during the day.",36
"719","self","s527","Our fragile environment is a concern, and I'm all for trying to help it and not hurt it more",35
"720","social","s529","This is a story about a Korean person's experiences moving from being relatively rich to being poor in California.",70
"721","self","s530","EVERYONE HAD HIS FITNESS LEADS TO LIVE MORE YEARS",56
"722","social","s531","We do HIIT everyday.",58
"723","self","s532","These are our chosen people and the drought would cause famine and death, We should help anyway we can.",37
"724","social","s533","giving babies healthy teeth by having a high dose of vitamin D could be relevant to any of my friends who want to have childten.",60
"725","self","s535","This article is about using artificial intelligence to combat cancer.",104
"726","self","s537","Beverages with sugar do not help prolong your life nor help it.  It may actually shorten your life.",32
"727","self","s538","Most business firms will have to make adjustments in their operations and expect significant additional costs related to climate change in the near term.",87
"728","social","s540","This matters to people i know because i have some friends who live in areas where forest fires are common.",17
"729","social","s541","This matters because this could trigger bigger natural disasters in the future.",45
"730","self","s543","Anything I can do to help myself stay healthy is worth reading",34
"731","self","s544","It is about the S.U.V.s and climate",103
"732","social","s545","Some in my dysautonomia community can only do these type of exercises, are we at risk?",98
"733","social","s546","How to help reduce your carbon footprint.",51
"734","social","s547","This article is about how a declaration on climate change was blocked in pressure from the US.",35
"735","social","s548","Peoples are must knows the technology and business leaders.",81
"736","social","s551","i think its the best form to care our environment",83
"737","social","s552","This matters because a lot of people eat processed food frequently and it shows how it affects your body.",28
"738","social","s553","The US needs to act on climate, but what way is the best is the question.",1
"739","social","s554","The E.U.Leaders have been failed to reach the target regarding climate,which affects all people in the earth,Every single person in world is responsible for the climate change.",41
"740","self","s555","i prefer to save energy",33
"741","social","s558","People are interested in different methods for weight loss.",0
"742","social","s559","because it is very important",97
"743","self","s561","Flodding has many causes and consequences.",25
"744","social","s563","Many of our friends and family live in the coastal areas.  There's a lot of concern about the future impact of sea level rising, and a certain amount of apprehension, but there's a new tech firm that is trying to make it more concrete.",59
"745","social","s567","So people can see that exercise is important",56
"746","self","s568","Its about the risk of heart disease and health related issue.",82
"747","social","s570","This article is about the growing intensity of wildfires.",7
"748","social","s571","The fact that deli meats have even small amounts of processed meat is quite terrifying given how it increases your risk of colorectal cancer.",28
"749","self","s572","This article gives me a sense of pride knowing that scientists are stepping forward to refute the claims of climate change denialists. While they say polar bears are fine, scientists focus on a blog that spreads missinformation from a Canadian zoologist and this makes me proud to see that they are willing to fight the battle of misinformation being spread and promote widespread awareness of the truth.",77
"750","social","s574","It appears this article is about exercising for children and where good health starts early in life.",12
"751","social","s575","Bananas can replace sports drinks for carbohydrate fuel for exercise.",68
"752","self","s576","Computers can predict and treat breast cancer and might be able to one day help prevent it.",104
"753","self","s577","Scientists tried to save a rare mammal called the vaquita in a rescue mission and one died after being captured.",101
"754","social","s578","This article matters to people I know because I personally take products such as whey protein and creatine which are often branded as muscle building supplements.",10
"755","social","s581","Climate change is the big threat for current century.",25
"756","social","s582","Because Americans are staying home more and traveling less, they are saving energy",33
"757","self","s583","fitness might help peoples to get free from lot of health affecting disease",34
"758","self","s584","Parents absolutely have an impact on a child's health considering that the parent serves a majority of what the kid eats to them. More education on this could help kids become healthier which is always great.",92
"759","self","s587","The extra work of healthy cooking is worth it",8
"760","self","s588","This article is about our gut bacteria and how it affects our running abilities.",72
"761","self","s589","Artificial intelligence is being used to help predict and treat cancer.",104
"762","social","s592","""might not survive"", and we're forgetting that nature has, without human intervention, destroyed inumerable civilizations and archaeological sites. Stories like these drive human action towards particular agendas which are often neither rational nor beneficial.",85
"763","social","s593","Weight loss information.",78
