"","cond","SID","value","article_number"
"394","self","s636","Unless you're intolerant to gluten there is absolutely no reason to go gluten free.",66
"395","self","s638","About Sports Event Which may shows some other results which is not expected.",62
"396","social","s639","Companies will see profits drop within the next five years due to climate change.",87
"397","self","s640","I think this article is about the status of the solar power system...",93
"398","self","s001","I tend to drink a lot of sugary drinks, so this information will help me cut back on that habit.",4
"399","self","s002","good to protect environment just by recycling",69
"400","social","s003","Could help with weight gain which would help a lot of people.",74
"401","social","s004","It seems like diet pills, no matter how they're marketed, are kind of risky.",10
"402","social","s005","Heart risks and high levels can possibly lead Parkinson's disease, scary stuff.",82
"403","social","s008","A before school program that will get kids exercising",86
"404","self","s009","Political process for energy exploration efforts in ecologically sensitive area",61
"405","social","s010","it can tell them if lab-grown meat is harmful or not",81
"406","social","s012","This article matters to people I know because they care about the welfare of endangered species.",101
"407","self","s014","I'm concerned about environmental impact on the economy.",9
"408","social","s015","This will help you understand which foods are more healthful cooked.  and which are better eaten uncooked.",42
"409","social","s017","Working towards making your children energetic and happy?Why don't you try the BOKS program?",86
"410","social","s018","This matters because people have to deal with heat and it may result in black outs or cause their area to participate in rolling blackouts to preserve the electrical system.",97
"411","self","s019","It's worrisome news. It shows that climate change is not a distant thing. It is already happening.",97
"412","self","s020","I may at some point in my life try to lower cholesterol by taking satins.",80
"413","self","s021","This article matters to me because I believe recycling is very important for the environment.",49
"414","social","s024","A few people I know are now buying new homes, and I live near the Mississippi River.",23
"415","social","s025","This article describes the mindset of people who are opposed to genetically modified foods and their knowledge specific to genetically modified foods.",102
"416","social","s028","This article about immune system",100
"417","self","s030","Some of the heritage and historic places are getting destroyed due to the global warming and those list are getting higher day by day.",85
"418","social","s031","Vitamin C & E are good to health",40
"419","self","s032","This article expresses the need to speed up efforts and fight to stop climate change.",27
"420","self","s036","Climate change is an important issue for every human.",95
"421","social","s037","about the tattoo on skin impact",80
"422","social","s038","The choice between natural food and chemically made beverages for energy.",68
"423","self","s040","It is related to challenging race.",62
"424","social","s041","Because I am a woman and sharing this article with my female friends and family is one form of showing them that I care about their wellbeing.",52
"425","social","s042","the other deliberate  a blackout meant to prevent them. Schools and businesses closed and thousands of people evacuated their homes.",17
"426","self","s043","Engaging in bodily movements is healthy for both the body and the mind.",14
"427","social","s045","Vouchers for people making american made electric and hybrid vehicles",73
"428","self","s046","the plastic will not decompose in the land so easily so it cause the environment bad effects and affects every human personally",57
"429","self","s048","A new form of weight training that requires short time to build strength.",48
"430","social","s049","Parents affect childrens' health outcomes.",92
"431","self","s051","The article describes the results of climate change issues that were on election ballots this year.",75
"432","self","s052","This article is how to get kid's to eat healthy.",2
"433","social","s053","It shows how climate change is already effecting people across the world.",97
"434","self","s054","Symptoms of poor cardiovascular health may be linked to an increased risk for Parkinson's disease.",82
"435","social","s055","Global warming and climate change are becoming more of a public focus.",95
"436","self","s056","Having more tools to fight cancer is important in saving lives.",104
"437","self","s057","I used to drink a lot of carbonated beverages until I became diabetic. They serve no value to our diet and cause obesity, bad dental health, and diabetes.",32
"438","self","s058","A vegan got gout and had to change his diet.",26
"439","social","s062","People I know care about the environment and want to make sure they make the right choices and when they need to choose between paper or plastic at the grocery store, I'm sure people I know want to make sure that they are making the right choices that will less damage the environment.",57
"440","self","s063","A chef is providing advice for how to shop well for cooking.",20
"441","self","s064","dogs sleep well in their owners' bedrooms",38
"442","social","s065","This article is about a probiotic that will help with obesity.",74
"443","social","s066","Changes on climate and what we can do",1
"444","self","s067","Because we need look out for the environment before it's too late (if it's not already)",83
"445","social","s068","I don't really know anyone with even a history of parkinsons but it could inform someone who knows a person who does. good info for everyone.",82
"446","self","s069","This article provides information about GMO's that people may not know about.",102
"447","self","s070","This is so sad, I hate to see animals in any kind of danger.",101
"448","social","s072","This article matters to people I know because we all fear cancer.",28
"449","social","s073","This is about how nutrients in foods change when they are cooked.",42
"450","social","s074","What avoiding colds consists of",100
"451","social","s075","hearing loss is a major problem. i feel sad about this",90
"452","self","s076","how exercise keeps older people ""young and healthy""",18
"453","social","s078","It talks about how even though we work out to lose weight, sometimes that excess working out makes us hungrier and we end up overeating.",78
"454","social","s079","good for staying healthy",106
"455","self","s080","Climate change is going to start being irreversible if we don't do something soon.",41
"456","social","s081","It is about making your money last longer",70
"457","self","s082","This article is about how babies who start eating solid food earlier in life tend to sleep longer per night than those that are breastfed.",44
"458","social","s083","Switching to a green energy provider would help the climate.",83
"459","self","s084","learning about fire can be important.",17
"460","social","s085","This article would be helpful to people I know because it would help them make choices so they can avoid getting cancer.",22
"461","self","s086","I have a child and having him exercise and be healthy is important to me.",12
"462","self","s089","Exercising and maintaining a healthy lifestyle is great for your health.",16
"463","social","s090","This chef only recommends buying the produce you need for that day to avoid waste.",20
"464","social","s092","Switch to Green Energy Provider helps.",83
"465","self","s093","This is bullshit I am gonna smell good fuck clean air.",107
"466","self","s095","the effect of eating solid foods (vs drinking breast milk) on babies under 6 months in age.  seems like babies who eat solid foods get a bit more sleep",44
"467","social","s097","I am suspicious about supplements but I am willing to investigate this and maybe you should too",72
"468","social","s099","Nuclear energy could be a great way to get cheap and clean energy to all of us",51
"469","social","s100","This article matters to people I know because it has information on how to lower the risk for cancer and cardiovascular death, which I think is something we all can benefit from.",22
"470","self","s101","Toxic algae blooms harm aquatic life.",39
"471","social","s103","Because people like to know what antioxidants work for muscle soreness and which do not.",40
"472","self","s104","This article matters to me because I am concerned about climate change and the damage it is causing to our planet.",97
"473","self","s106","This article matters to me, because I tend to order food and have disposable trash.",55
"474","social","s108","This is pertinent information for thoughtful people during the holidays.",11
"475","social","s110","Australia is largest importer of coal...",21
"476","self","s111","How nuclear power effects the environment",51
"477","self","s112","I want our planet to be a safe place for people and wildlife. Climate change threatens our safety.",97
"478","self","s113","Its about encouraging people to switch to an environment friendly energy provider.",83
"479","social","s114","This might be important for those of us who are worried about high impact sports effects on our knees!",98
"480","social","s115","The danger of Nuclear radiation poisoning affects us all. Environmentalists team up with Nuclear people to help you lower your carbon footprint.",51
"481","social","s116","Stop eatting so much. Be a good human. It will save the planet. People should care to sve eachother in the long run.",31
"482","social","s117","running routine is helpful to health",62
"483","self","s118","Recovery funds are too slow to reach Americans as more disasters strike.",13
"484","self","s119","A study apparently shows breakfast is not the most important meal of the day.",0
"485","social","s120","Maybe eating meat isn't necessary for health",64
"486","self","s121","I care for the Earth and Climate change is important to me.",75
"487","social","s122","because politicians are the ones that need to act on climate change",95
"488","social","s123","This article matters to people I know because it could affect approaches of people who are overweight or have eating disorders towards adjusting their diet.",8
"489","self","s124","This article is about the benefits on vitamin D on children in the womb.",60
"490","social","s125","Some people I know do exercise regularly and have some pains after.",40
"491","social","s126","there is a conservation of champion to win in national election from dispute the mine",21
"492","self","s127","environment is to bad",9
"493","self","s130","This matters to me personally because I have small children, and I plan to have at least 1 or 2 more babies. I need information like this so I can sleep longer at night too.",44
"494","self","s132","I like to drink soda sometimes",4
"495","social","s133","It's gotta start somewhere.",93
"496","social","s134","Although most of the people close to me seem to use reusable shopping bags, its good to know definitively when you go into the store which to choose if you forgot your reusable.",57
"497","social","s136","This article matters to people I know because healthy children and the resulting billions of dollars saved are important to them and to the worldwide community.",12
"498","social","s137","It has been found there is a direct connection between Abdominal obesity and Parkinson's Disease. Such link increases the development of Parkinson's.",82
"499","social","s139","Low impact sports may be putting too little pressure on bones.",98
"500","social","s140","Because they care about climate change and this would interest them.",95
"501","self","s141","Because i want to stay healthy as possible.",18
"502","self","s143","cleaning products are so expensive and less effective.",47
"503","self","s145","The relationship between obesity in children and their parents.",92
"504","self","s146","S.U.V.s are gaining popularity around the world. This article claims that this is not good for the climate.",103
"505","self","s147","It matters to me because this is happening in the world that we are living in and will affect my life and other people's lives.",15
"506","self","s149","If I wanna to lose my weight means I should do exercise regularly.",78
"507","social","s150","It's about a legal movement to change the endangered species act and the responses from critics.",89
"508","self","s151","Natural disasters are horrible and so sad to experience. If there is a way to help the citizens and the cities that were affected, it should be spent. Efforts to aid is the greatest of relief. There should be no lingering pain after enduring a natural disaster.",13
"509","social","s153","This article speaks to people I know that are going gluten free.",66
"510","self","s155","The Senate has approved to drill in Arctic Wildlife.",61
"511","social","s156","This article is about what can be recycled and what shouldn't. It informs us about what we can throw in the  recycling bin and what is doing more harm than good when we are putting it in there with the recyclables.",69
"512","self","s157","I have no any idea this time.",11
"513","social","s159","WASTING FOOD PROVIDE HELPLESS PEOPLE'S",20
"514","self","s160","this article is about how some countries are still continuing mining for coals even though there are risks",43
"515","self","s161","ARTICLE IS ABOUT THE COURT DISMISSES THE EXXON'S EFFORT TO BLOCK CLIMATE IVESTIGATION",3
"516","social","s163","On the one hand, it certainly will help lower the price of automobiles but on the other it could actually cause higher bills for the consumer/end-user as we'll all be filling up more frequently.",29
"517","social","s166","The article is about garbage and how it is piling up in the Pacific Ocean between California and Hawaii.",79
"518","self","s167","Global warming may destroy important ancient places in the Mediterranean.",85
"519","self","s168","This is an article about cutting polution.",107
"520","social","s170","this article may help them in their daily diet routine",68
"521","self","s172","Algae blooms are suffocating wildlife in the ocean.",39
"522","social","s177","People I know care about food waste and sustainability.",20
"523","self","s178","Too many of the children in my life complain about feeling sluggish in the morning.  A program like this would definitely help them break through that.",86
"524","self","s184","Hearing loss can lead to accidents because of not properly hearing warnings.",90
"525","social","s185","This article matters to people I know because recycling and consequently garbage disposal is a very important issue for our entire planet.",49
"526","self","s186","It may be more effective for weight loss than longer less intense workouts, a study suggests.I willing to read the article.",58
"527","self","s187","The garbage patch floating between California and Hawaii is growing rapidly and is currently at about 87,000 tons of plastic.",79
"528","social","s189","An important reminder than although fossil fuels might be on their way out in some places, they are still relied upon heavily in many parts of the world.",21
"529","social","s191","Reason for over weight gaining",78
"530","self","s192","This is about the pros and cons of plastic or paper bags.",57
"531","self","s193","Having a good immunity power can control from colds and other flu and have a good healthy habits too.",100
"532","self","s194","Early ways to combat climate change are interesting because they teach us about today",37
"533","self","s195","It helps me realize the government is a scam.",49
"534","self","s196","It is about how the Ancient Egyptian leaders successfully warded off the climate disaster.",37
"535","social","s197","It's good hear , i take this as a message and will pass it other people i know",60
"536","self","s198","This is about the motivate the energy provider, reporter, activists and world leaders.",83
"537","self","s200","Article is about the coal mine",43
"538","social","s201","Many of us have parents that are just starting to suffer the effects of that arterial plaque. We need to encourage them to make healthy choices and be good examples ourselves.",84
"539","self","s202","Breast cancer is a very dangerous disease",52
"540","social","s204","I know some people in California who need more reasons to get out of California.",17
"541","social","s205","This is interesting and hopeful for people who may benefit from it.",74
"542","social","s206","Climate only change the every situation for survival for humans",87
"543","self","s207","Here's why we should be making our own renewable energy!",1
"544","self","s208","red meat and white meat had the same effect of bad cholestrol",50
"545","social","s210","Understanding what gut bacteria could possibly make you run faster and the science behind it.",72
"546","self","s211","The article has 6 reasons why people might be approaching recycling wrong and details how common misconceptions about recycling might cause people to be more optimistic about recycling than reality warrants",69
"547","self","s212","Climate lawsuits limited",105
"548","social","s214","we need to work together to get climate under control",41
"549","social","s215","This makes a lot of sense - sharing meals is a big part of a relationship!",96
"550","social","s216","It is about forest and wild fires because of global warming.",17
"551","self","s217","I had been wondering how I could help my immune system in this 2020 climate.",100
"552","social","s218","It should increase the oxygen level and helps human life",51
"553","self","s219","Exxon's effort to block climate investigation was dismissed by a federal judge.",3
"554","social","s222","Sweet dreams, sweet spot(spät), sweet as pie(pī), sweet young thing: All have a positive connotation(ˌkänəˈtāSHən). But what about sweet tooth, which Americans seem to have cultivated(ˈkəltəˌvādəd) to great excess(ikˈses,ˈekses)? The health effects(əˈfekt) of this obsession(əbˈseSHən) with everything sweet are anything but positive.",4
"555","self","s223","This article matters to me personally because I want to do what I can now to ensure that the planet is inhabitable for future generations.",83
"556","self","s224","Certain heart risks symptoms are shown to increase risk of Parkinson's.",82
"557","social","s227","this article is about Deli Meats which is a processed meat",28
"558","self","s230","Americans are saving energy by staying home, but with a tech-fueled lifestyle I would be watching more TV, using the internet more and a greater us of heating. So energy savings may not occur.",33
"559","self","s234","I remember what it was like to feel sleepy and droopy in the morning.",86
"560","social","s235","Calling action skills and drawing the necessary weapons  It shows very clearly all the actions including the advice of the doctors",82
"561","social","s236","This article is about highlights from a meeting concerning climate and tips on how to reduce wasting food over the holiday",11
"562","self","s237","WILD LIFE OIL GAS AND OIL EXPLORATION",61
"563","self","s242","It helps keep me aware of the current state of the weather.",91
"564","self","s243","Are you an aspirational recycler? See below the common mistakes of hope people make",69
"565","social","s246","This article is about how certain products, like deodorant and perfume, contribute to pollution.",107
"566","self","s248","This action will create some kind of motivation to protect our environment. Now a days Land conservation became sensational topic due to its importance in environment protection",19
"567","social","s249","people I know love nature and care about our environment",99
"568","self","s250","This article is about a girl who is popularly known as 'Invisible Girl'.",65
"569","social","s251","This article is about skipping breakfast before excercising to lose weight.",0
"570","social","s255","How different types of meats may affect your bad cholesterol levels.",50
"571","social","s257","cooking  and eating vegetables are good for health",42
"572","self","s258","Side effects of supplements for various purpose.",10
"573","social","s259","This article is about to ban the drink to save the peoples health",94
"574","self","s260","This article is about climate change and the fact people are not buying insurance.",53
"575","social","s261","China not recycling foreign garbage anymore, and thus, Americans recycling is just being dumped",49
"576","self","s262","People should always carry flood insurance no matter the cost.",53
"577","social","s265","Wildfires aren't happening in the usual places due to climate change. Daunting new evidence that climate change is here and makes us ask what we can do right now.",7
"578","self","s268","Because it is about a company that really wants more for it self and does not care for people like me and my health.",43
"579","social","s270","This is about to create aware among people to reduce the usage of plastics",57
"580","self","s273","i want my child to eat healthy and care about their growing and health",2
"581","social","s274","It is very important one and useful for people",5
"582","social","s275","My friends that are afraid to exercise might like this :)",58
"583","self","s276","It was about the wild fire was affecting the more acres in california and it was a huge loss of the lands.",17
"584","self","s277","they are making ads about global warming",95
"585","self","s278","This is a good article discussing what our landscape may look like in the future due to rising sea levels. Imagining land that is currently above water being underwater in the future is frightening! I am curious what the start-up company is that is trying to identify the risks.",59
"586","social","s279","This article is about eating fish is healthy for children",30
"587","self","s280","It matters to me because I'd like to know if my descendants will be affected.",59
"588","self","s281","I’ve been having trouble losing weight. Maybe my breakfast is part of the problem!  I think I will try this strategy next week.",0
"589","social","s283","its about how to avoid wastage",20
"590","self","s287","It matters to me because it shows how if you prepare early you can ward off disasters.",37
"591","self","s288","A cancer doctor who has cancer becomes an entrepreneur selling his solution for beating his cancer.",24
"592","social","s292","There's way more plastic in the Pacific Ocean than previously thought.",79
"593","social","s294","because when we are ageing our body part become weak.",76
"594","social","s295","Because air pollution affects everyone.",103
"595","self","s297","My mom has had cancer twice in her life, I’m glad there are so many intelligent people who devote their lives to finding cures.",24
"596","social","s299","Because people I know care about well-being of people around the world as well as fairness and justice in society.",21
"597","social","s300","using the opportunity to look for solutions for people with climate problems.",59
"598","self","s301","It isn't necessary to always compete with one another.",62
"599","social","s303","Belly fat lost is very important. It's very important health improvement",94
"600","self","s305","I try to avoid sugar so seeing how it is beneficial is nice.",94
"601","social","s307","we all need to protect the environment",9
"602","self","s308","I am not a fan of processed meats!!",52
"603","self","s311","This article matters to me because maybe antioxidants and other supplements don't actually help the way we think they do, and they might be a waste of money.",40
"604","self","s313","I have abdominal obesity.",82
"605","self","s314","I believe it is important to take care of one's health and keeping up with new medical developments and findings is one part of doing just that.",22
"606","social","s316","The article focuses on misinformation related to the climate change debate.",77
"607","self","s318","Lawsuits have been filed in Colorado against oil and gas giants, something that used to only be done on the coast.",105
"608","self","s319","This news was very helpful",75
"609","self","s320","It is very useful to peoples",40
"610","self","s321","This article is about lifestyle",84
"611","social","s322","This is relevant to people I know who live near the ocean on the coast, as well as people I know who are looking for worthwhile investments that could have large returns.",59
"612","self","s324","Because I an 56 and am slowly slowing down.",76
"613","social","s326","Health conscious is needed one for every human. This article is about being fit by following good habits avoid smoking will ensure our long life it sense in a moral",16
"614","social","s327","relate to cooking as every day essential work revolved",42
"615","social","s328","I think that a lot of people feel they can eat a lot more white meat and think that it's healthy.",50
"616","social","s329","Sugar is extremely BAD for you in multiple ways.",4
"617","self","s330","I worry about my health and keeping my body safe from cancer and other diseases.",22
"618","self","s331","Workout is make us fit and healthy.",76
"619","social","s335","so people get educated on controling their diet when they eat",78
"620","self","s337","This is primarily an attack on my home state, California, which was granted a waiver for decades to control pollution. Pollution is linked to health problems and increased risk of death, and rolling back emissions standards would affect me personally.",29
"621","social","s338","My dad owns an S.U.V. so he may be a bit environmentally conscious to this fact.",103
"622","social","s344","This is very inspiring. I admire her courage, she is an advocate of Global climate change and she is bent on achieving her cause.",65
"623","self","s345","I really want to know what benefits could possibly come from ""lab-grown meat"".",81
"624","social","s348","Climate change will bring doom on earth",99
"625","social","s349","studying rising ocean levels and affects on land",59
"626","social","s352","Minimising the impact of climate change which will reduce land been underwater.",59
"627","social","s353","This article is about Plastic wastages.",79
"628","self","s358","It was very useful health tip",6
"629","self","s360","Eating fish makes children and pregnant women to got healthy. Fish contains some great protein contents. It makes the baby's brain cells to work faster.",30
"630","social","s361","I have a very dear friend who is vegan, and an article like this might be relevant to his interests.",26
"631","social","s363","It matters to people watching their weight and health condition that like sweets.
It's about the consequences of eating sweets.",4
"632","social","s364","Being fat and overweight is dangerous and can lead to a shorter life.",108
"633","self","s368","The article is about climate change such as global warming.",9
"634","self","s371","My sexual function may be getting worse, but not bad enough to take these dangerous supplements.",10
"635","social","s372","Seems that members of the E.U. have failed to justify why a proposal to reduce carbon emissions from coal in the next 30 years as eastern countries are not for it.",41
"636","self","s373","Staying safe and having a good economy is the key to future success.",9
"637","self","s375","First and foremost, the air pollution in my large city is obvious both by sight, smell and effects on the eyes and the upper and lower respiratory systems. A lot of it is caused by cars and when you are behind cars in rush hour or behind diesel trucks, you can really smell and see the impacts. Second, it would help clean the Air for all Living Things.",73
"638","social","s380","Only buy food you plan on preparing on the same day.",20
"639","social","s386","it matters because it can inform people about the immune system",100
"640","self","s387","record breaking heat in June
",91
"641","social","s390","physical activities very good for brain",14
"642","self","s394","exercise is good for me and every human health",18
"643","social","s395","this article is about the livelihoods and Endangered species act.",89
"644","social","s396","Lost belly fat and showed metabolic benefits.",94
"645","social","s399","Exercising can cause people to gain weight because they eat more.",78
"646","social","s400","Effect on Plaques in Arteries due to lifestyle changes.",84
"647","self","s401","Energy saving is a good thing but the headline of the article is very straight to say",33
"648","self","s402","Dogs always stress busters, it may be with us in every situations like a friend",38
"649","social","s403","children and adults protest for climate change",109
"650","social","s406","People I know care about their future and want to be prepared for issues that will effect them now and later.",53
"651","self","s411","environment is very important one  for us  and it represent only one many significant area wildfires are currently burning the world so i has a lot of fears and climate changes is exacerbating danger",7
"652","self","s412","obesity was high risk of  heart disease  .so daily excesise and diet control most important",108
"653","self","s414","There was a big disagreement on how to handle the Arctic at a climate change talk with the council. They are trying to protect the environment from damage.",35
"654","self","s415","This should not be encouraged. save some areas without industrialization",61
"655","self","s418","It matters to me personally because I need to keep healthy to avoid sleep apnea.",106
"656","self","s419","parents making their kids fat",92
"657","social","s420","Yes tomatoes and spinach will improve the nutrient level while cooking",42
"658","self","s421","I am glad that the natural beauty and habitat for wildlife is being preserved for generations to come.",19
"659","self","s422","Why the world keeps burning coal despite the risk the practice poses for the future could be explained by the story of a mining project in Australia.",43
"660","social","s423","Climate change will impact everyone's life in the future.",5
"661","self","s425","I need to keep myself informed on the science related to our changing climate.",11
"662","self","s432","This article is about what car manufacturers think about climate change.",71
"663","self","s434","this article is chef tom colicchio cook for tonight .",20
"664","social","s435","This sounds a like a life changing proposal and it is important to spread it so people can learn about a better future is being planned and how to act in order to achieve it.",73
"665","social","s436","Old competitive racers unable to run like his teen age.",76
"666","self","s437","scientist is the most believable persons this is reading very feel",101
"667","self","s439","The article is about genetically modified organisms which far too many people have not been sufficiently educated to make an opinion one way or another.",102
"668","social","s442","Disposable cleaning products like wipes and toilet wands are popular. no bargaining in this product. there is no convenience.",47
"669","self","s444","This article is about cancer",24
"670","self","s445","smoking causes danger",16
"671","self","s446","I enjoy both meats. I am not worried about my cholesterol but it might interesting to read about the same levels in the two.",50
"672","social","s448","It matters because, as a resident of the planet, I need to know that everything that can be done is being done to protect the natural environment. I need to know if my government is acting in accordance with the needs of the planet, so that I can vote accordingly.",35
"673","self","s449","This article is about the causes of Parkinson's Disease.",82
"674","self","s450","Young people are protesting to raise action about climate change.",27
"675","social","s453","this article is about weight associated cancer rating",54
"676","social","s454","New children's new book on healthy eating.",2
"677","self","s456","climate change is important in this election",75
"678","self","s457","This article is about a study that was done that showed that cardio workouts can decrease the chances of developing dementia.",34
"679","social","s460","People I know are very interested in the best ways to lose weight safely and effectively.",6
"680","social","s462","Climate lawsuits are moving inland in the US.",105
"681","social","s463","this would encourage to people to exercise enough",56
"682","social","s466","Climate change is making storms worse and the government is not helping.",13
"683","social","s467","Age is not the factor its just a number. We live for long days we must fit.",76
"684","social","s470","about a quick 13 minute way to do strength training.",48
"685","self","s471","This article is about kidney stones and what foods one should not eat if they want to avoid getting stones.",46
"686","social","s473","wildfire causes by invasive grasses",63
"687","self","s475","I have a lot of compassion for animals.",77
"688","self","s478","I feel that this is kind of weather information which gives some positive news about the climate. So it matters to me personally.",83
"689","social","s479","Bananas actually contain more carbs than sports drinks which help fuel exercise",68
"690","self","s481","It's about how exercise can keep you young.",18
"691","self","s482","This matters to me because if the European Union does not curb and eventually halt the use of fossil fuels, this will contribute greatly to global warming.  Twenty-eight countries take up a huge area of land and population, so it's important that this Union (and everyone else on the planet) does everything it can to halt the use of fossil fuels, especially coal.  A plan should be put into action that would replace the use of coal in eastern European countries with clean energy.  The survival of the planet matters to me personally.",41
"692","self","s483","Looks like banning sugary drinks is having the desired effect.",94
"693","social","s485","Antioxidants don't help muscle soreness after exercise",40
"694","self","s487","Article is about cholesterol levels",50
"695","social","s488","construction in flood zones",23
"696","self","s490","This article is about kidney stone prevention.",46
"697","social","s492","There is a lot of money available that isn't being spent quickly enough to aid with disasters and the problem is just going to get worse because of climate change.",13
"698","self","s493","Global warming is happening, but the good news is that they are getting better at evacuating",15
"699","social","s494","Eating method for life time",96
"700","social","s495","Honestly i dont know how the contents of this specific article would matter or be relevant to anyone in my social circle. Perhaps if I knew they were a fan of the skier that is mentioned i would relay the article to them",5
"701","self","s496","good for coal researchers. good one to be known",21
"702","social","s497","I think this article matters to many people, including those I know because it highlights the impact of two things: misinformation and climate change.",77
"703","social","s498","The Trump administration, Senate Republicans and Lobbyists are trying to weaken the endangered species act in hopes of some economic gain.",89
"704","self","s499","create awareness to the people not to build in flood area zones",23
"705","social","s502","Its a victory for climate protection, for the environment. I think this particle matters because we must all try to protect the environment.",3
"706","self","s504","This article is about how carrying excess weight around on your body contributes to an increase in cancers. The largest increase was seen in the South, Midwest, Alaska and Washington D.C.",54
"707","social","s505","This article lets the readers explore a quick yet effective exercise to build strength, based on a recent study.",48
"708","social","s506","SUVs are selling at increasing rates in China, Australia, and Europe which could be bad for the climate.",103
"709","self","s507","I want my children to be able to see as many types of animals as possible and if we can preserve some species, we should.",77
"710","self","s512","I eat meat and it's important to know the effects",50
"711","social","s513","This article appears to include information on automaker's perspective on climate change and possibly indicates they are changing their stance",71
"712","self","s514","I am always trying to get the most nutrients out of my veggies!",42
"713","self","s515","Recycling a coffee cups or greasy pizza boxes would be very creative and innovation.",69
"714","social","s516","everybody need to know about climate change",97
"715","social","s517","The Article is about climate change",7
"716","self","s520","This article is about a climate based Tech conference for technology and business leaders discussing about various topics, from big data to lab-grown meat to governor positions.",81
"717","self","s522","It should probably matter to everyone. Who doesn't want to gain strength in just a few minutes per day?",48
"718","self","s526","It matters because it seems very relatable to today.",37
"719","self","s527","How we walk depends on who we are with",36
"720","social","s529","We really don't have to slow down too much as we get older.",76
"721","self","s530","plastic bags are not safe to the earth",57
"722","social","s531","We can hope for certain area harder than others!",59
"723","self","s532","It says dogs are our best friend and they relieve stress. so we probably could sleep better.",38
"724","social","s533","everyone uses plastics and need to be careful on how to dispose of it to make sure to lessen the effect to the environment.",67
"725","self","s535","This article is about the resurgence in popularity of S.U.V.'s and the effects of their usage on the environment.",103
"726","self","s537","It means to me that technology helps us in many ways today.  It may not be picture perfect though.",33
"727","self","s538","The article cites several lifestyle changes that can decrease the risk of heart attack including diet, exercise, managing stress and quitting smoking.",84
"728","social","s540","Exercising gives you as much benefit health wise as not smoking cigarettes.",16
"729","social","s541","This matters to people i know because many people i know are athletes.",40
"730","self","s543","Research data about walking",36
"731","self","s544","My Society have an deadly disease called cancer. So this article matters me personally",104
"732","social","s545","Climate Change is getting the political attention that it deserves.",95
"733","social","s546","Climate change is happening but people aren't buying floor insurance.",53
"734","social","s547","This would matter because a lot of people I know have dogs, and they might be interested in it.",38
"735","social","s548","People must knows the world leaders.",83
"736","social","s551","we need to take care of our environment",85
"737","social","s552","This is important to everyone because car emissions is affecting climate change. Everyone should pay attention to this.",29
"738","social","s553","With the oil majors unable to block the investigation, we may finally get answers!",3
"739","social","s554","Because we can protect the environment by knowing this alternatives",47
"740","self","s555","it is about killing florida wildlife",39
"741","social","s558","Climate change will impact the US economy.",9
"742","social","s559","ii is about that climates",99
"743","self","s561","Plants imply vegetarianism which is good. What are flavinoids?",22
"744","social","s563","Somebody has created a tool to make high intensity workouts less stressful to the body.",58
"745","social","s567","I worry about the females in my life that eat too much processed meat.",52
"746","self","s568","Climate changes affects each and every aspects of people , also to companies which were engaged in production and manufacturing and relevant to environment. It affects the economic situation of companies which in turn affects their employees also.",87
"747","social","s570","This article matters to people like me because I do not want to be fat.",6
"748","social","s571","I've got a few family members that work in the oil industry and they've told me that these emission rules are fairly overbearing and that they'd love to see the government ease up on them.",29
"749","self","s572","The trash zone between California and Hawaii is much bigger than we thought. A study suggests it's up to sixteen times bigger and growing exponentially. About 87,000 tons of plastic exists in this area.",79
"750","social","s574","It appears we're learning to deal with the warming crisis through different types of interventions.",15
"751","social","s575","I have friends who live near wildfires.",63
"752","self","s576","Some people in my life could be considered obese. I want them around for as long as they can be.",108
"753","self","s577","Young people are having to demand adults stop destroying the world and their future.",109
"754","social","s578","This article matters to people I know because climate change is a topic that we are all affected by and dealing with. Eliminating food waste is also something my family will want to do during the holidays.",11
"755","social","s581","Meat can increase the risk of colorectal cancer.",28
"756","social","s582","This is so sad because climate change effects everyone we love in the future",35
"757","self","s583","surgery drink may good and help to save people, would need to enhance the performance..",32
"758","self","s584","Climate change really needs to be taken more seriously.",91
"759","self","s587","The environment is money in the bank.",9
"760","self","s588","Climate change is relevant to me because it effects us all.",71
"761","self","s589","scientists are trying to help an endangered species of marine mammals.",101
"762","social","s592","Did this never occur to any of you before?",83
"763","social","s593","The people should know about the matter, if they go outside from their own country.",70
"764","social","s594","Its about how meats affect our health.",28
"765","self","s595","It is all about recycling plastics and papers in America.",49
"766","social","s598","This article matters to people I know because switching to a green energy provider is helpful in lowering their bills and helping the environment.",83
"767","social","s599","climate change is happened in some changes",13
"768","self","s600","There is still not enough Solar power energy",93
"769","social","s602","we all want to live longer, and taking tips from people who have proven longevity is a good idea",64
"770","social","s606","fitness is most important to people.",34
"771","self","s608","pertains to overall strategies for optimal health",0
"772","social","s610","Permit from regulators in Queensland to get coal.",21
"773","social","s613","People are always looking for hope and info about cancer.",24
"774","self","s615","about saving energy and travel less",33
"775","self","s616","There is no side effects and is is found in 25",10
"776","social","s618","Living in poverty has affected me and my family in the past.",70
"777","self","s619","Climate change strikes",109
"778","self","s620","A summary of things that happened at the ClimateTech Conference in San Francisco.",81
"779","self","s621","Being overweight has many consequences including the risk of cancer.",54
"780","self","s622","the story is basically  how a wealthy person could keep three countries for a decade",43
"781","social","s623","Since the Fetus health is so important, the pregnancy woman have to take vitamin D foods.",60
"782","self","s624","The Senate passed a bill that would protect more than 1,000,000 acres of wilderness for conservation.",19
