"","cond","SID","value","article_number"
"399","self","s002","fruits and vegetables are good for healthy life",64
"400","social","s003","Seems to be a rundown of an interview with an oceanographer.",71
"401","social","s004","Lets start getting those kids outside for a while; once we shift to universal healthcare it will help drop the price tag significantly.",12
"402","social","s005","Lifestyle changes, such as quit smoking, exercise more, dealing with stress and more can help stabilize and clear up plaque, unclog arteries and protect your heart health.",84
"403","social","s008","This talks about some of the factors that increase the risk of developing Parkinson's Disease",82
"404","self","s009","I am a health conscious young person who follows plant based diet",64
"405","social","s010","Lawmakers want to weaken the aspects of the Endangered Species Act",89
"406","social","s012","People who are against GMO's don't know much about them according to a new study.",102
"407","self","s014","A judge threw out a lawsuit that Exxon filed to protect itself against an investigation.",3
"408","social","s015","Keeping people working at an industry that is doomed to fail eventually for pure profit is terrible and will cost our world a great deal in the end.",43
"409","social","s017","The article highlights important sites that are likely to be affected by global warming.",85
"410","social","s018","Most people know someone who are dealing with this issue and it can be useful so we can know how to assist others in this situation. It is informative.",96
"411","self","s019","This article is about the negative impact of sports like cycling. It says that these low-impact sports could be harmful to bones.",98
"412","self","s020","Companies see some high monetary risks related to climate change.",87
"413","self","s021","This article is about what happens to the nutrients in tomatoes and spinach when they are cooked.",42
"414","social","s024","This is an article about ways plants offer good preventative care for some ailments.",22
"415","social","s025","This article matters to people I know because they are going to have to deal with the impacts of climate change in their lives.",109
"416","social","s028","This article relates to my known people as it is about breast cancer which is usually a women's problem",104
"417","self","s030","Higher in cholesterol in the  body may risk in skin infection so people taking statins to reduce the infection .",80
"418","social","s031","Storing of Coal in Australia",43
"419","self","s032","This article is important to me because it emphasizes the importance of flavonoid-rich foods for health.",22
"420","self","s036","Heat has come from climate change.",97
"421","social","s037","about climate control",83
"422","social","s038","The importance of Vitamin D with pregnant women and health in general for babies.",60
"423","self","s040","It is relate to me because of my civil obedience.",65
"424","social","s041","This article is about encouraging people to work out or exercise to promote a healthy body and lifestyle so they can live longer.",56
"425","social","s042","Although it is widely understood that an active life style can lead to a healthy life the study concludes that a sedentary lifestyle is the equivalent.",16
"426","self","s043","Land conservation is important in certain circumstances.  The chicken little tactics need to stop, though.",19
"427","social","s045","this article is about the growing problem of waste that is filling up our oceans and harming our planet and animals in the water.",79
"428","self","s046","it is very useful by using only limited plastic and made recycle the plastic we use",55
"429","self","s048","Avalaches triggered by climate change have scientists worried.",45
"430","social","s049","Sports without much pressure on bones may not be good for them.",98
"431","self","s051","Age related declines in our activity levels might not be as bad as we think they'll be.",76
"432","self","s052","Since I don't believe Climate Change is man made I am disapointed by the judge in this article.",3
"433","social","s053","Eliminating sugary drinks is effective in improving health.",94
"434","self","s054","It is very important topic in our life. We should follow Diet, smoking cessation, stress management and exercise. So we can reduce our heart attach chances.",84
"435","social","s055","Climate change could cause climate-related crises in the future.",99
"436","self","s056","It means the fight against climate change will get harder for us activists.",103
"437","self","s057","Climate change is very important to me and we need to do whatever it takes to stop global warming. It is not in the US's best interest to interfere into other countries talk on  this important matter.",35
"438","self","s058","Information about floods.",25
"439","social","s062","This article is about how red and white meat both have the same amount of bad cholesterol.",50
"440","self","s063","I do have a vested interest in not dying.",22
"441","self","s064","sugary drinks are very bad for you",32
"442","social","s065","This article is about how a gut bacteria produced by running makes mice run faster, and possibly humans.",72
"443","social","s066","The climate could damage the GDP",9
"444","self","s067","Endangered Species Act being gutted and protections being thrown out.",89
"445","social","s068","I don't really know anyone worried about the climate. My social circle is a bit lower on the ladder than people who worry about these things.",83
"446","self","s069","How sleep apnea can kill you.",106
"447","self","s070","This is showing how obesity can cause a lot of problems especially with your heart.",108
"448","social","s072","This article matters to people I know because they know how terrible coal is for the world",21
"449","social","s073","This article matters because leaders not fixing climate change could affect people that I know.",41
"450","social","s074","My knowledge on GMO's and how it affects my view on it",102
"451","social","s075","kids fat is little bit happy",92
"452","self","s076","how to stop wasting food around the holidays",11
"453","social","s078","This matters because all of that garbage will eventually stark impacting all of us if we don't do something about it.",79
"454","social","s079","not really that important",101
"455","self","s080","I want to be healthy and so I try to avoid things that could damage my body.",46
"456","social","s081","people are debating about climate change...again",77
"457","self","s082","This matters to me personally because I am environmentally conscious and know the dangers of burning coal. I would be interested in what the author has to say on the matter.",43
"458","social","s083","As the climate changes, more heritage sites are being affected.",85
"459","self","s084","the senate is ordering environmental protection",19
"460","social","s085","If people are vegans, they need to avoid eating certain foods or they'll get gout.",26
"461","self","s086","The claim of global warming and what it could bring to the future can affect my life or my child's life in the future.",15
"462","self","s089","Getting exercise can help you retain your youthfulness.",18
"463","social","s090","How to deal with floods, climate change and staying safe when flooding happens.",25
"464","social","s092","If people don't do actions, everybody will be harmed eventually.",89
"465","self","s093","Using A.I to transform breast care",104
"466","self","s095","diet recommendations to avoid getting kidney stones include:  calcium-rich foods, drinking fluids, and less sodium",46
"467","social","s097","This is a story about how losing one's wealth doesn't mean you have to lose satisfaction in life.",70
"468","social","s099","Do you think grandma's distaste for bacon is her secret way of staying healthy?",52
"469","social","s100","This article matters to people I know because wasting food is such a bummer, and this article will help avoid that!",20
"470","self","s101","High-sugar beverages contribute to disease, shortening lifespan.",32
"471","social","s103","It matters because parents need their sleep and just 17 minutes could help. So by feeding them solid foods they get a little extra sleep supposedly.",44
"472","self","s104","This matters to me because I am worried about global warming and the impact that higher temperatures will have on the global environment.",91
"473","self","s106","This article matters because I am interested in exercising.",58
"474","social","s108","About how to deal with raging fires.",17
"475","social","s110","Flood is most dangerous to all livees...",25
"476","self","s111","I exercise regularly and enjoy the benefits of doing so.",56
"477","self","s112","Being healthy is important to me. I want to help my future family to be healthy the best that I can.",92
"478","self","s113","Its about how important historic places are being killed by global warning and they have few years left.",85
"479","social","s114","Earth had it's hottest June on record, according to European experts.",91
"480","social","s115","Alot of my friends and family are overweight and out of shape. This tool could help them get healthy.",58
"481","social","s116","The more sugar you eat and drink the more you life draws closer to the end. This infor can helpe people corrrent a bad standard.",32
"482","social","s117","the study makes perfect knowledge",63
"483","self","s118","With more and more reason to stay inside, we need to show children that exercise should be achieved regardless.",12
"484","self","s119","Wildfires are suddenly happening everywhere, just like they always have.",7
"485","social","s120","Plastics are a burden on the earth and on our environment",67
"486","self","s121","A person and their grandmother found ways to make their money count on food.",70
"487","social","s122","European scientists believe that global warming is real and U.S. scientists will also soon",91
"488","social","s123","This article is about the health consequences of excessive consumption of sugary drinks.",4
"489","self","s124","This article is about how wildfires are made worse by grasses.",63
"490","social","s125","I know some people who do cook a lot and are looking to eat healthier",42
"491","social","s126","there should be a individual approach to doctor personally for better sources",24
"492","self","s127","most of the people likes weight loss, because of beauty",6
"493","self","s130","This article is about coal and how it will affect Australia and the risks associated with continued coal use.",43
"494","self","s132","Weight loss means more than reducing what you eat",8
"495","social","s133","There is a reason kids can't make their own decisions until they're 18.",92
"496","social","s134","I know people living in the Midwest and given all the other expenses they have, I doubt they have coverage for this since it seems so rare.",53
"497","social","s136","This article is about the dangers of dietary supplements, especially to those under age 25, and how it might affect you directly in a negative way.",10
"498","social","s137","There is a direct link between the cholesterol medication Statin and the development of developing staph skin infections.",80
"499","social","s139","Climate change is real, and it could effect us more than anyone may have previously thought.",99
"500","social","s140","How rising temperatures are affecting people",97
"501","self","s141","Global warming is an important topic for discussion",15
"502","self","s143","Tomatoes and Spinach can boost nutrients.",42
"503","self","s145","How partners can help one another with eating disorders.",96
"504","self","s146","The article is describing a strike that young adults and children are participating in.",109
"505","self","s147","Many Americans affected by natural disasters aren't receiving financial support from the government quick enough and the problem seems to be getting worse.",13
"506","self","s149","Happy to visit McDonald's with my Grandmom",70
"507","social","s150","It's about Statins and a link between skin infections.",80
"508","self","s151","Protection of our resources should be protected and honored",19
"509","social","s153","People I know care about the environment.",67
"510","self","s155","This article matters to me because I'm not on a gluten-free diet.",66
"511","social","s156","Because they are using sports drinks and there is a better way to get the carbs they need to exercise and heal.",68
"512","self","s157","The Article say disasters multiply.",13
"513","social","s159","IMPACTS IN CITY DUE TO HEAT",27
"514","self","s160","This is important because we humans would like to keep our body healthy and not have any diseases",46
"515","self","s161","THE ARTICLE MATTERS TO ME PERSONALLY BECAUSE THE OLYMPIC SKIER KNOWN FOR ME WANTS TO SAVE THE WORLD'S SNOW BY OURSELVES",5
"516","social","s163","Interesting headline. Probably ought to read because of the prevalence of cancer in most of our lives and our love of deli meats over pre-packaged meat.",28
"517","social","s166","The article is about a probiotic for people who suffer from obesity. By taking this supplement, a person could have their metabolism benefit from it.",74
"518","self","s167","I take my health seriously and exercise regularly. It's nice to see an article confirming the benefits of a healthy lifestyle.",84
"519","self","s168","I've never had sleep apnea, but it matters to me because I like to be informed in case it does happen",106
"520","social","s170","They has to take this girls initiative as an inspiration for themselves",65
"521","self","s172","I always slept with my dogs as a kid so I know how much dogs prefer the bed to the floor.",38
"522","social","s177","In Australia a permit was granted for a coal mine",21
"523","self","s178","This is about something we can all do to make a positive impact on the environment.",83
"524","self","s184","That parents bear blame for their kids being fat.",92
"525","social","s185","Nutrient levels in cooked tomatoes and spinach.",42
"526","self","s186","After read this article i think i should avoid the meat.",50
"527","self","s187","The decrease in physical skills as we age, may not be as bad as we previously thought.",76
"528","social","s189","Cancer can strike anyone at any time.",24
"529","social","s191","may the problem will come at future",75
"530","self","s192","Heart monitors can make high-intensity interval training less scary and more fun.",58
"531","self","s193","Most of them can choose in S.U.V.s types so the sales can be high.",103
"532","self","s194","The article is about toxic blooms in florida killing wildlife.",39
"533","self","s195","Climate change is a scam and so are the people who sell it.",45
"534","self","s196","It is about how our walking styles are affected.",36
"535","social","s197","i will tell my friends and family about this",68
"536","self","s198","This article is relevant to my society.",88
"537","self","s200","Article is about the climate change which causes destruction of avalanches.",45
"538","social","s201","Might be better to consider health choices early before you need those meds because staph is no fun. And then you have to worry about antibiotic resistance!",80
"539","self","s202","All people should by a flood insurance",53
"540","social","s204","If kids went outside the United States would save a lot.",12
"541","social","s205","There's a new study about polar bears that is probably faulty since it comes from a Canadian zoologist that shares dubious information.",77
"542","social","s206","skin infections is very sensitive so everyone should take care of it.",80
"543","self","s207","Our future generations shouldn't have to live with the mistakes that we are making now. I want to change this for them.",9
"544","self","s208","its about silicon valley start up",59
"545","social","s210","Understanding why you aren't losing weight while exercising.",78
"546","self","s211","Dosing vitamin D during pregnancy may help to improve tooth enamel in offspring, thus increasing their dental health",60
"547","self","s212","World is embracing bad news",103
"548","social","s214","make sure that your recycling goes to a reputable place",49
"549","social","s215","I think this should include self-impairment - wearing headphones!",90
"550","social","s216","It is about scientists studying global warming.",11
"551","self","s217","Chinese consumers are getting more into SUVs then previous years.",103
"552","social","s218","It tell about the cancer rates in the place",54
"553","self","s219","It matters because it shows others taking envrionmental action",5
"554","social","s222","But it may not burn many additional calories, because it will also start to move differently when it is not on the wheel, according to an interesting new study of the behaviors and metabolisms of exercising mice.",6
"555","self","s223","This article matters to me personally because I want to learn information that can help me ensure that my nephew is happy and healthy.",86
"556","self","s224","If you stop smoking and take care of yourself, you'll have less likely chance to get a heart attack.",84
"557","social","s227","Vegan diet is the most effective diet for sportsmen",26
"558","self","s230","Ancient history showed that the Pharaohs tried to mitigate their environments to help sustain themselves, but failed. It can be a modern lesson on preparation. Like myself, I do prep for calamity's regardless if they fail or not.",37
"559","self","s234","My dad has heart disease and really needs to apply these changes.",84
"560","social","s235","
It makes it clear that everything, including the monkey, is taken very beautifully in one line",85
"561","social","s236","this article is about how the government spending money unwisely effects the country being more vulnerable in the event of a disaster",13
"562","self","s237","ALL THINGS SHOULD NOT BE RECYCLED",69
"563","self","s242","It outlines the importance of getting my hearing checked for issues.",90
"564","self","s243","I sometimes pack sports drinks for my long hikes but it sure is good to know an old fashioned banana is best!",68
"565","social","s246","This article matters because people in my family are afraid of GMOs and avoid them without understanding the science.",102
"566","self","s248","This claim may be true. Because our life style moves towards artificial. We have to loss something due to our irregular activities against this nature.",10
"567","social","s249","Most people I know have young children and might want to read this",92
"568","self","s250","This article is about the Invasive Grasses, which may cause wildfires.",63
"569","social","s251","This article matters to people I know because some of them really love snow, my son is 8 and he's never seen snow he really wants to and if we didn't have snow hed never be able to.",5
"570","social","s255","It's just another talking point about the effects of climate change, to which I know quite a few climate deniers who would simply ignore it.",53
"571","social","s257","this article is about what foods should i avoid to prevent the kidney stones",46
"572","self","s258","Climate change will affect our country and also the world.",13
"573","social","s259","This article explains the safety of bones pressure to doing the running and swimming activities.",98
"574","self","s260","If I exercise more, then I could live longer.",56
"575","social","s261","People I know work out and others are into antioxidants. This would be relevant to each of them.",40
"576","self","s262","I have a fitbit and it includes a heart monitor which is by far my favorite option .",58
"577","social","s265","Finally a good reason to skip breakfast! May be something to consider for better weight loss.",0
"578","self","s268","That climate change happening faster with the collapse in the Tibet area makes scientist more worried.",45
"579","social","s270","people should update this kind of health related information. Sometimes it would be useful for one of us",58
"580","self","s273","i think i can make a big difference in my health without counting calories and making life difficult for myself.",8
"581","social","s274","Weight loss is very important to our life",6
"582","social","s275","White meat could be just as bad for you as red meat",50
"583","self","s276","It was about the federal government was gives protection about the lands and their bills.",19
"584","self","s277","sugary drinks is very helpful",94
"585","self","s278","This is an interesting article describing the increase in cancer risk that excess weight can cause, along with the regions that are most affected. I really need to take better care of my body.",54
"586","social","s279","This article is about the relationship about the dog and the humans in the bedroom.",38
"587","self","s280","It matters because I would like to know which is better",57
"588","self","s281","I’ve really got to watch my sugar intake, because I do love my sweets and they are linked to lots of health problems.",4
"589","social","s283","talks about how a cancer researcher treats cancer",24
"590","self","s287","It matters because climate change is happening and it is affecting all of us and our future generations.",35
"591","self","s288","Climate change will affect everyone on the planet. It is shameful that angry youngsters have to bring attention to the failure of grown ups in tackling this impending crisis.",27
"592","social","s292","A Canadian zoologist blogs that climate change is threatening polar bears, in opposition to what the denialists are saying.",77
"593","social","s294","because people I know care much about polar bear and other animals",77
"594","social","s295","Because it's about health and risks if people weigh too much.",108
"595","self","s297","This will contribute to destroying our environment, it’s sad people don’t realize how harmful Trumps policies are.",29
"596","social","s299","It's very important to be mindful regrading food waste.",20
"597","social","s300","use tools that makes exercises easy.",58
"598","self","s301","This article is about arctic drilling.",61
"599","social","s303","About solar power. Our world added more solar power than other resources",93
"600","self","s305","I work in the energy industry so I am curious about these campaign ads",95
"601","social","s307","that is unforgivable",3
"602","self","s308","It matters to me because I can be affected by climate change in 20 years.",59
"603","self","s311","This article matters to me personally because I use several of these products. It makes me think that I should consider changing some of the cleaning items that I use in order to clean better, save money and help the environment.",47
"604","self","s313","I personally like to learn about the new scams that the powers that be are trying to scam society with.",81
"605","self","s314","While I am not vegan nor suffer from gout, I still believe it is important to understand best practices when it comes to eating a well-rounded diet.  Knowing that certain foods may exacerbate certain medical conditions is something that I find important.",26
"606","social","s316","The article is about whether gut bacteria could improve running speeds in people.",72
"607","self","s318","Being slightly overweight, I am glad that the research is showing that obesity doesn't increase risk for cardiovascular disease.",108
"608","self","s319","This is about garbage patch",79
"609","self","s320","It is about cleaning products",47
"610","self","s321","This article is about climate change.",85
"611","social","s322","This article is about the fact that white and red meat both have essentially the same effect on cholesterol levels.",50
"612","self","s324","Heavy people may benefit from a probiotic for obesity.",74
"613","social","s326","I too like Dancing. Some people may following their daily life with the regular work in the schedule so they need some relaxation this article seems to took forward them to dance and stretch so they can perk up the aging brain",14
"614","social","s327","the baby feed with solid food will sleep longer than others",44
"615","social","s328","This article is about how nuclear power can be considered green power to reduce carbon",51
"616","social","s329","This article matters to people I know because it concerns their health.",6
"617","self","s330","I'm very worried about climate change, and it really bothers me when some people don't take it seriously.",25
"618","self","s331","ices are melting due to global warming.",77
"619","social","s335","That the performance of humans reduces as they proceed in what ever they do but we should do our best so the reduction would not be rapid",76
"620","self","s337","I would be curious how strong the evidence to support this is because I consume some deli meats in small quantities. I wouldn't want to get cancer and I could learn how to reduce my risk of it.",28
"621","social","s338","A lot of the people I know are struggling with the current COVID-19 pandemic and this is useful information for them.",100
"622","social","s344","Getting your prtien form plants can help prolong your life and decrease the chance of getting ill.",64
"623","self","s345","WE NEED TO PROTECT ENDANGERED SPECIES, NOT ALLOW JERKS TO KILL THEM!!!!!!!!!",89
"624","social","s348","Climate change is damaging",91
"625","social","s349","My mom's house is at risk for floods. She needs to read this to learn about insurance.",53
"626","social","s352","This article is about the variety of meat that has the lowest cholesterol level",50
"627","social","s353","This article is about obesity.",74
"628","self","s358","This climate change may affect me",9
"629","self","s360","Probably fitness made us healthier in day to day life. Women faces earlier dementia because of the body structure. Doing Yoga and some fitness activities will give some better solution for women to fend off dementia.",34
"630","social","s361","I don't know if this article would matter to people whom I know, because no one in my immediate group of friends or family are car enthusiasts beyond using them to commute and as needed to support a lifestyle.",29
"631","social","s363","It matters to people I know, because they want to stay healthy and skinny, but still like to eat.
Article focusing on details of quality diet, pointing out it's important to choose carefully what You eat, and then You won't have to focus on quantity so much.",8
"632","social","s364","Being healthy and not sick is due to genetics and other luck factors.",100
"633","self","s368","I feel it's necessary because it brings other options for electrical energy and helps climate",1
"634","self","s371","Widespread fires are becoming more frequent and dangerous that the likelihood it could burn something of my property is increasing.",17
"635","social","s372","It appears that waste products from Americans are not being recycled as they make their way to be processed in China and the Chinese aren't taking care of it.",49
"636","self","s373","Children need to start eating well early in life.",2
"637","self","s375","A Scientific Study pertaining to the Aging Process and how certain physical activities may be perceived to slow down or even ""excepted"" to slow down as we age. It will reveal how these are misconceptions and that we probably have to return to what the previous generations did. They ran, climbed, dug, squatted, chopped etc during their daily basic survival activities. Convenience is bad for our health in general. Inconvenience is good for our health in general. Think climbing the stairs or taking the elevator as a simple example.",76
"638","social","s380","Processed meats is bad for you in any portion.",28
"639","social","s386","it is about gmo and how much people know about it it is a newly found study",102
"640","self","s387","people who cant hear are more likely to get hurt",90
"641","social","s390","the 10000 acres in california",17
"642","self","s394","my good habit is not smoking",16
"643","social","s395","because of it's an awareness article and it's useful for everyone.",80
"644","social","s396","Solar power is more powerful and useful.",93
"645","social","s399","Useful information to see how new ideas on climate change are moving forward.",75
"646","social","s400","About presence of snake oil.",88
"647","self","s401","As for the new year resolution Helps the earth my consuming less product that's Affects climate change and the democrats plans to address that",31
"648","self","s402","About the effective and hard work from the leaders gave better results",37
"649","social","s403","SUV's are bad for the climate",103
"650","social","s406","Having proper energy and a healthy environment is important to people I know and both these ideas play large parts in that.",51
"651","self","s411","it is very important one weight loss is important most of the people had an obesity  and over weight so create lot of problems in our body so need burn extra calories",6
"652","self","s412","climate change strike participate student and worker skipped the school and office",109
"653","self","s414","How people behave different around others is always something I have noticed and am intrigued by the concept.",36
"654","self","s415","I was under the impression these things can be recycled !!!!",69
"655","self","s418","This matters to me personally because I want to breathe clean air.",107
"656","self","s419","getting healthier is important and this may be a simple way towards that",94
"657","social","s420","Recycling is helps to reduce the waste and it makes earth cleaner and it's reduce the waste products.",49
"658","self","s421","The destruction of Hurricane Dorian is a travesty, I couldn't imagine if this were to happen to my community. Losing my home or a loved one would be devastating.",13
"659","self","s422","Babies that get solid food early may sleep more soundly than ones that breast feed through 6 months.",44
"660","social","s423","Healthy food is the most important factor of weight loss.",8
"661","self","s425","Generally, playing and otherwise exercising is good for all people, including children.",12
"662","self","s432","This article is important to me because climate change laws can cause energy rates to increase and put excessive burdens on businesses.",75
"663","self","s434","this all product is very good to health .",26
"664","social","s435","This is one of the current problems we are facing as society, so it is in everyone's interest to learn what it is being done in order to approach and solve it.",75
"665","social","s436","Really Mr. Schumer's new plan is not so ambitious and reducing emissions.",73
"666","self","s437","climate change is every necessary to save our children's carefully",109
"667","self","s439","This story gives me hope that the younger generation can truly make a difference with recognizing, and changing how we think about our planet.",109
"668","social","s442","The 28th country bloc's net carbon emission. we shall be achieve in 2050 by 35% of the peoples.",41
"669","self","s444","This article is about how people waste food",20
"670","self","s445","wilder storms its very dangerous",15
"671","self","s446","We all eat processed meat in our house so that makes me worry about my wife and kids.",52
"672","social","s448","This matters because the oceans are a very important part of the planet's ecosystem. People like myself need to know that the ecosystem is being protected.",39
"673","self","s449","I have concern about the life of the species.",89
"674","self","s450","There is a compound in some plants that may reduce risk for cardiovascular death and cancer death.",22
"675","social","s453","every people need to control in daily foods",52
"676","social","s454","This concerns me so much that there seems like there is nothing to stop it from happening.",9
"677","self","s456","Energetic bacteria make run faster",72
"678","self","s457","This article is important to me because global warming is an important issue and I think it's great that the pandemic is bringing about some good.",33
"679","social","s460","This article is about the best foods to cut back on to lose weight without worrying about the quantity of food eaten.",8
"680","social","s462","What really keeps the flu away.",100
"681","social","s463","this would raise awareness about cholesterol levels",50
"682","social","s466","it shows that they could be healthier if they cycle.",18
"683","social","s467","87,000 tons of plastic affect many aquatic animals. That not good for earth.",79
"684","social","s470","i know a lot of moms.",44
"685","self","s471","This would matter to me because I usually have a full day and yet I would like to do weight training. The 13 minutes p/day would fit my schedule very well.",48
"686","social","s473","its the best in recycling coffee cups",69
"687","self","s475","A medicine to reduce bacteria in the stomach to help you run fast",72
"688","self","s478","There was a conference where they discussed about almost everything about Information technology, food products and country new leaders.",81
"689","social","s479","It matters because it sheds light on an important issue and how and what we can do to fix it",65
"690","self","s481","I don't smoke but could be more fit.",16
"691","self","s482","Babies can improve their overall sleep time per night if they start on solid food at three months instead of waiting for six months, post breastfeeding.",44
"692","self","s483","As someone who grew up eating trash but now has a child who eats wonderfully, we are the ones who mold their minds! We as parents need to quit being lazy and help our kids develop great habits!",92
"693","social","s485","Avalanches getting worse because of climate change",45
"694","self","s487","It gives me better information",59
"695","social","s488","its important for my australian friend who voted in those elections",21
"696","self","s490","This article is about alternatives to disposable cleaning products.",47
"697","social","s492","This news would be welcome to my friends, some of whom struggle with more traditional forms of exercise.  Dancing is fun and doesn't really feel like exercising but still has a lot of benefits and they'd be happy to know they are keeping their minds young by doing it.",14
"698","self","s493","Senate pass a bill that will help the environment",19
"699","social","s494","Cycling and swimming is very interesting game...relaxation to critical situation",98
"700","social","s495","this article is about how climate change is causing wildfires to spread to new locations around the globe",7
"701","self","s496","oh god, its not good one. its not safe",23
"702","social","s497","This article is about losing weight and the impact of eating and exercising.",78
"703","social","s498","A lot of my friends are in tech or are interested in tech, so they would be interested in seeing various new types of technology.  The vegans would be interested in the lab-grown meat, and my friends in California would care as to a new gubernatorial candidate.",81
"704","self","s499","cancer researcher he take the research personally and motivate to research more about the disease",24
"705","social","s502","Many people want to lose weight so this article can be really helpful for many of my friends and also family members.",6
"706","self","s504","This article is about how both red meat and white meat had the same effect on bad cholesterol levels in the body.",50
"707","social","s505","The article suggested food to avoid and food to consume more to avoid kidney stones.",46
"708","social","s506","Children skip school to do a demonstration on climate change on a Friday.",109
"709","self","s507","fear is an excellent motivator.",75
"710","self","s512","How weight relates to cancer",54
"711","social","s513","Scientific experimental results that may indicate a bacteria in our gut could improve speed in running races",72
"712","self","s514","We can't replace our environment once we destroy it, everyone should read this.",43
"713","self","s515","Government should take an effective action in banning this process.",63
"714","social","s516","parenting towards kid's fatness",92
"715","social","s517","It understands me very well",9
"716","self","s520","This article matters to me because I am a huge promoter of CBD oil, so if society knows a lot about it, the more mainstream and acceptance society will have on it, causing it to be more readily available.",88
"717","self","s522","I want to make conscious decisions about what products I'm using and if they are eco friendly.",47
"718","self","s526","Help out your planet by consuming less materials.",31
"719","self","s527","Drinking sugary drinks is a killer",32
"720","social","s529","The 'Great Pacific Garbage Patch' is going to ruin the ocean and kill the fish that we eat.",79
"721","self","s530","dont fear for hear  monitor",58
"722","social","s531","All meat is bad for our health.",50
"723","self","s532","It says soda products have up to 12 teaspoons of sugar in them and can cause obesity and heart problems.",32
"724","social","s533","The US wants to drill oil in the artic",61
"725","self","s535","This article matters to me because I love animals, and when a species is endangered, that makes me very sad.",101
"726","self","s537","The women in my life have a change of avoiding dementia if the main better fitness during their midlife.",34
"727","self","s538","During the ClimateTECH Conference in San Francisco, technology and business leaders took part in wide-ranging discussions.
",81
"728","social","s540","This is important to people i know because they are in need of things to do to relieve their stress.",14
"729","social","s541","This matters because using reusable products will save more money.",47
"730","self","s543","A article about recycling and the effect on climate change",31
"731","self","s544","My father had cardiovascular disease. So I think it personally.",108
"732","social","s545","As someone who has had an eating disorder, I know my husband had to figure out how to help me.",96
"733","social","s546","Some people I know live by the shore and figuring out which land will be underwater is important to them.",59
"734","social","s547","It might be interesting to some people I know and they might learn from it.",30
"735","social","s548","Peoples are must knows about the atherosclerotic plaques, help to stabilize them.",84
"736","social","s551","this is not the form to act in our life",89
"737","social","s552","This is about a doctor not excepting his cancer diagnosis and looking for other ways to treat it by trying to get money.",24
"738","social","s553","Science needs to save native climates!",5
"739","social","s554","This is about the effects due to climate change.",45
"740","self","s555","it is interesting because i love dogs",38
"741","social","s558","People want to eat healthier.",8
"742","social","s559","because it is very need to know",94
"743","self","s561","This industry is pushing for government advantages for itself.",29
"744","social","s563","They've found a link between obesity and cancer and it's no surprise that it affects people in the South and Midwest more than other places.",54
"745","social","s567","How red meat and white meat both effect levels of bad cholesterol.",50
"746","self","s568","Its about the conference regarding climate and technological range.",81
"747","social","s570","This article matters to people I know because many of them want to eat healthy",0
"748","social","s571","People will continue to avoid the warning signs by building in flood-prone areas because they often seem to have their heads in the sand when it comes to these types of issues. It seems like a risky investment given the insane cost of building a home and it's fairly surprising that these homes are being belt so frequently in such areas.",23
"749","self","s572","Everything surrounding climate change effects my generation and those to come, this makes it crucial and important to my every day life. This article matters because it involves the importance behind bipartisanship and how carbon taxes and renewable energy needs to be focused on by those in power. The elections is where this mattered because of possible opposing views. That need of climate bipartisanship will effect my life and the life of everyone on this planet. Everything about the elections is important because those running for office will be the ones putting the votes and decisions forward.",75
"750","social","s574","Although supplements for weight loss are popular they have many side effects that people don't know about.",10
"751","social","s575","The dental health of babies was improved with high doses of Vitamin D.",60
"752","self","s576","The extinction of various species is not a good sign for the state of our Earth.",101
"753","self","s577","Sleep apnea is a serious problem and keeps increasing in adults in the US",106
"754","social","s578","This article matters to people I know because my friends and family enjoy national parks as well as nature in general, so it is a good thing that millions of acres of pristine land will be conserved.",19
"755","social","s581","Homes are must built depend upon the geological locations.",23
"756","social","s582","Experts say sugary drinks have no health benefits and lead to a shorter life",32
"757","self","s583","marine life's are might need to care and preserved to have healthy shore and need to resolve.",39
"758","self","s584","Campaigns are finally starting to run on climate change as a main issue.",95
"759","self","s587","It's not going to fix itself.",7
"760","self","s588","This article is important to me because I am overweight.",78
"761","self","s589","I have lived in ""farm country"" and it saddens me how many people talk about GMO's that have no clue about the benefits they provide to millions of people.",102
"762","social","s592","Lobbyist agendas are never big picture.
",89
"763","social","s593","Scientific research.",72
"764","social","s594","This article is important to all the people in the world the climate change is one of the  ongoing issues.",27
"765","self","s595","It is going to teach me more effective as well as affordable way to clean my things without using disposable products.",47
"766","social","s598","This article is about how people who take statins to lower cholesterol were increasing their chances of developing staph skin infections.",80
"767","social","s599","fire is very dangerous for all",17
"768","self","s600","I want to learn more about climate change",97
"769","social","s602","wildfires are very scary, we want to be safe and protect the environment",63
"770","social","s606","This is a sociality article so, big matters to people.",37
"771","self","s608","pertains to overall strategies for optimal health",4
"772","social","s610","Climate change affects people in our country which matters a lot and lead to a protest.",27
"773","social","s613","Most of my friends and family eat  a lot of deli meat.",28
"774","self","s615","about the toxic which is harm for wildlife",39
"775","self","s616","The older cyclists are biologically younger.  so I would like to the olders.",18
"776","social","s618","You should continue being active and living your life as you age.",76
"777","self","s619","I have involved with this.",101
"778","self","s620","CBD oil and the lack of information that society still has about it.",88
"779","self","s621","Using technology to track climate change.",59
"780","self","s622","drinking more fluid reduces kidney stones",46
"781","social","s623","This article talking about plant proteins is vital to human",64
"782","self","s624","With global warming there could be more disasters. It could affect me and my family.",15
"783","social","s626","The article is about how banana is better than sport drinks in the market.",68
"784","social","s627","Government is incompetent.",13
"785","self","s628","It is very important to me.In future I think the usage of coal will increase",43
