cond,SID,text,article_number
social,s116,The Egyptains in the past tryed to help the climate. They did not do the best at what they did to stop it. It was lessons learned helping for others to grow on.,37
social,s117,wildlife exploration is the best thing,61
self,s118,More people need to know exactly how disastrous these fires have been.,17
self,s119,"Some skier thinks the world is going to run out of snow. Also, scientist win a prize by mapping peat.",5
social,s120,Nature proves superior to man-made solutions once again,68
self,s121,A pill may help people who are overweight.,74
social,s122,because people want to be healthier,94
social,s123,I know people who are interested in alternative energy sources for use at home.,1
self,s124,This article is about how the Senate approving drilling in the Arctic because it has opened up oil and gas exploration.,61
social,s125,What to eat and drink to prevent kidney stones,46
social,s126,to rewrite the American car emission rules for automobiles which have been aggressively moves,29
self,s127,please give only healthy food for their children,2
self,s130,This article is about fast weight training.,48
self,s132,It just depresses me,9
social,s133,Why does everything bad for you tastes so good?,94
social,s134,This article is about how to adjust your lifestyle so you are not using Single-Use plastics as much.,55
social,s136,"This article is about how wild storms and their dangerous rains have resulted from global warming, better evacuation of flood zones and worse news all around.",15
social,s137,Many of my friends are smokers are on the heavier side. I believe this article basically illustrates a real potential reality of those who fit this category. Article brings forth evidence allowing for those I know make the decision to make a difference before they suffer from a heart attack due to the plaque build directed from their lifestyle.,84
social,s139,"It's interesting that there's still the assumption that children can be controlled. Also, while they are impressionable, is it in their best interest to try and control them?",92
social,s140,Because they want to switch to green energy,93
self,s141,Because i used to be a smoker,16
self,s143,eat calcium rich foods to avoid kidney stone.,46
self,s145,I have serious fears about global warming as I get older and it shifts and destabilizes society.,97
self,s146,"I have a bit of an interest in scents and collect them, so this is kind of a worrying article.",107
self,s147,This article is about wildfires are occurring more frequently in our country now.,17
self,s149,The spring season comes to end after the climate change,71
social,s150,It would likely have an effect on the prices of things that we buy in day-to-day life. The companies losing their money could move the loss onto consumers.,87
self,s151,"It's sad to see that children are more interested in tv, video games and electronics and not getting out and getting physical exercise",12
social,s153,My friends are interested in global climate change,65
self,s155,Things that may not actually be recyclable.,69
social,s156,It is about the benefits of eating plants to get your necessary protein and how others have done that and are evidence that it works.,64
self,s157,The Article about forecast warming world,17
social,s159,MINE HAS CLAIMED VICTORY OVER ENVIRONMENTAL ACTIVISTS,21
self,s160,This is important because humans like us need nutrients to strengthen our immune system,42
self,s161,THE ARTICLE IS ABOUT THE DAMAGED ENVIRONMENT AND SHRINKING ECONOMY,9
social,s163,We can hope that these people who have joined the call will actually do something rather than sit on their laurels but it's important that the call to action has grown larger and includes a younger generation.,27
social,s166,This article would matter to people I know because it could give them insight to health and how a bacteria supplement could improve their performance while working out.,72
self,s167,This matters to me because it is likely to impact the world economy in a negative way which could impact the financial stability of my own life.,87
self,s168,This is an article about lawsuits related to climate change.,105
social,s170,this is about how wrong we are in recycling simple things wrongly,69
self,s172,"How working out can prevent dementia, it was studied in middle aged women.",34
social,s177,Flavonoids in plants can lower your cancer risk,22
self,s178,This is about CBD and how little is actually known about it.,88
self,s184,"The planet is experiencing hotter months than ever, specifically in June.",91
social,s185,This matters to people I know and everyone on the planet because if we do not combat climate change our species could go extinct.,41
self,s186,"Physical exercise obviously goes back much further than that, to a time where people wouldn't have thought of it as working out, but rather a way of life.It is very important article to me.",56
self,s187,"This article focuses on climate change and included conversations with an oceanographer, automakers, and forecasters.",71
social,s189,A chef making suggestions for shopping at a farmers market,20
social,s191,this world not only for humans,77
self,s192,This article matters to me personally because I want to be healthy and take care of my body.,56
self,s193,Having a heavy food regularly can push the people into obesity problem and it make the people life time to shorter.,108
self,s194,It is important to me to address climate change so wasy to do that is good.,31
self,s195,A mining project in Australia that burns coal.,43
self,s196,It contains important information that I did not know about fish making us smarter.,30
social,s197,"If this diet unlikely to provide benefits, i make sure all people in my community should know about it",66
self,s198,This article about the climate change in next 5 years this article makes me feel fearful.,87
self,s200,Article is about Precaution measures for kidney stone,46
social,s201,The problem is there are so few green energy providers in our state. It's hard to make changes when they're not available. :(,83
self,s202,All people should do exercise daily,56
social,s204,Motion keeps the brain on its toes as it ages.,14
social,s205,It's possible that a gut bacteria could help make us run faster since that bacteria is higher in mice that ran faster.,72
social,s206,very much useful conference.,81
self,s207,I am sick and tired of my life being affected by climate changes and these companies need to be held accountable!,3
self,s208,"the highest level of weght associated cancer are in the south,my esidence also in the south side",54
social,s210,A climate change bill that helps Americans buy electric cars.,73
self,s211,"The article indicates that increased consumption of plant proteins may lead to lower rates of cardiovascular death or stroke, thus lengthening life spans",64
self,s212,Opposing to government,102
social,s214,looks like babies can have food sooner than we thought,44
social,s215,I hope this fraction can increase in the next administration!,93
social,s216,How dancing can be good for your brain.,14
self,s217,It looks like more and more lawsuits are happening with oil and gas companies.,105
social,s218,It affect many people lives,53
self,s219,It matters because the environment effects all people and future generations,9
social,s222,"A major scientific report issued by 13 federal agencies on Friday presents the starkest warnings to date of the consequences of climate change for the United States, predicting that if significant steps are not taken to rein in global warming, the damage will knock as much as 10 percent off the size of the American economy by century’s end.",9
self,s223,This article is about how Parkinson's Disease and Heart Risks are related in a way that some people may not know.,82
self,s224,This matters to me if I decide to use CBD.,88
social,s227,"people with really needs much help, hope and money",24
self,s230,"Being a dog lover, I have found that having a dog in the bedroom makes me sleep better knowing I have security.  Researchers know what others have known for centuries, its wise to have a dog for protection. You will sleep well.",38
self,s234,This is about using clean energy for your personal home use.,83
social,s235,It is about knowing the details and making their actions clear,89
social,s236,this article matters because it includes informations that can help the US save a tun of money which in my opinion can help to put towards helping the less fortunate and building the country.,12
self,s237,PROTEIN HELPS US TO LIVE LONGER,64
self,s242,It deals with the need to increase our need for solar power.,93
self,s243,Happy to have this helpful info to share with parents-to-be!,60
social,s246,This is about using computers to treat and predict cancer.,104
self,s248,This article very much influencing in my thoughts. Because many of Americans started to make conversation about climate change and its impacts. This article claims that the climate changing creates disaster. Partially it must be true,13
social,s249,how banning sugary drink had a positive effect on workers,94
self,s250,This article matters to me personally because I offered vitamin D to my wife during her pregnancy.,60
social,s251,This matters to people I know who live on planet earth and don't want climate change to ruin the world we live in.,3
social,s255,"This would just be relevant health information for the people I know to keep in mind. No one I know is obese, though.",54
social,s257,because most of the cleaning products are not effective,47
self,s258,Activities for active brain.,14
social,s259,It is very necessary article it tells about the necessary of Twilight and energy source,93
self,s260,Heart monitors can make HIIT fun and exciting to do.,58
social,s261,Feeding babies solid food at 3 months.,44
self,s262,I have been feeling very fit lately as i have intensified my workout about 5% more than the usual.,56
social,s265,A strike against a oil superpower trying to avoid investigation and a win for the environment.,3
self,s268,I feel that the it is important that a baby can go on solid foods earlier and it would help me out on the formula and save me some money to and they will get healthy foods,44
social,s270,People should ensure their safe and secure by insuring from future disasters,53
self,s273,the economy and climate change are all making a negative impact on society,9
social,s274,It is a very interesting news,3
social,s275,Exercise could help you love longer,56
self,s276,it was about the smoking is not good for health and not smoking gives a healthy and long life.,16
self,s277,solar power is very important to produce electricity,93
self,s278,This is good to know! I will pass this information along to my female family and friends and hopefully they will be able to reduce their risk for breast cancer.,52
social,s279,This article is about the climate change declaration at Arctic Talks,35
self,s280,"women eating processed meats have a higher chance of breast cancer
",52
self,s281,This article suggests that it matters more what you eat and not how much you eat.  It says you can eat larger portions of healthy foods.,8
social,s283,climate change and global warming isues affect all of us,27
self,s287,It matters because I am one of those Americans staying home but I'm not saving energy at home.,33
self,s288,How to prepare for the increase in flooding caused by global warming.,25
social,s292,The elections have consequences regarding what will be done about climate change and how much it may cost taxpayers.,75
social,s294,It is good to know what is going on with the climatic change in our community.,71
social,s295,GMOs and people that oppose them don't know that much about them.,102
self,s297,Most processed foods are harmful to our health.,28
social,s299,Deli meats increase risk of colon cancer.,28
social,s300,advantages and disadvantages of using plastic and paper bags,57
self,s301,It is important to state healthy.,64
social,s303,Hearing is very important,90
self,s305,Low impact sports for exercise might make bones weaker in old age,98
social,s307,climate change is real,7
self,s308,It is about high intensity interval training tool.,58
self,s311,Babies who are given solid food at 3 months sleep longer than babies who are exclusively breast-fed through the age of 6 months.,44
self,s313,The possibility of diet and exercise reduce artery plaque.,84
self,s314,"As coal-derived energy is a major contributor to global warming, the success of this particular coal mine detracts from my personal goal of combating climate change.",21
social,s316,The article is a summation of the election results relative to climate change issues.,75
self,s318,"My dad has sleep apnea, and is on a C-PAP at night.",106
self,s319,This article is very motivational,76
self,s320,It is about coal despite the profound risk,43
self,s321,This article is about skin infections.,80
social,s322,Most people I know are environmentally conscious and this article would provide them with some simple things they can do to cut down on plastic.,55
self,s324,"A zoologist wrote that polar bears are fine, climate scientists disagree.",77
social,s326,The article declares that the environmental issue which the world defending against it. Every living things in this world they had its own place because of our developments we may cause some indirect damage for our environment this article definitely matters.,15
social,s327,relate to the ultimate sports fans,45
social,s328,I know plenty of people that enjoy HIIT training and would like to know more about it.,58
social,s329,This article matters to people I know because both of those issues are key to survival.  The environment is key to the survival of our species and the other is survival economically.,9
self,s330,"It's pointing out we can save food from being wasted if we buy only what we need right away. Good idea, I'd rather have everything fresh.",20
self,s331,Taking supplement is healthier way and increase the nutrition.,72
social,s335,making it known that the supplement is not yet confirmed to work for humans,72
self,s337,I guess that this could push people into higher density living as usable land decreases. I like having a modest amount of space to live in and the reduced traffic from a moderate level of population density.,25
social,s338,They frequently engage in the use of perfume and paint and they generally care about the environment.,107
social,s344,Waste managers often call this wishful recycling but it is wrong. Because it can do more harm than good.,69
self,s345,I have family who take statins for their cholesterol and their health isn't good enough to handle a staph skin infection.,80
social,s348,I hope we do something about climate change soon,97
social,s349,My parents need to lose some weight so this article might help,56
social,s352,This article matters because it will help to reduce climate change with the aid of recycling,55
social,s353,This article shows that how hungry is this grandmother.,70
self,s358,Very useful tip to weight loss,0
self,s360,They had some great plan for the future days. In present day leaders should try to learn from the our forefathers and had to apply on the real life.,37
social,s361,"The article concerns the fact that Americans are still building homes in flood-prone areas, despite our increased awareness in climate change concerns.",23
social,s363,"I guess it's relevant to people who like snow ? Or is it environmental statement ? No idea what mapping peat is...
I think it might be regarding climate change ?",5
social,s364,Some people I know are interested in the environment and safety of it.,105
self,s368,The article is about weight loss based on diet quality.,8
self,s371,The benefit of exercising seems to be directly related to the length of life.,16
social,s372,"A Tibetan glacier once again collapsed again after it did in 2016, puzzling scientists and causing them to reconsider their research.",45
self,s373,Using wind energy could be useful in the future.,1
self,s375,I love Science in general and the Headlines seems to imply that the Auto Industry are serious about Climate Change. I also want to read what Sylvia Earle has to saw during the conversation/interview. Plankton is vital to the Earths Oxygen Levels and the Oceans Ecosystem.,71
social,s380,"Because of a disease, a person had to give up food that would otherwise be healthy for them.",26
social,s386,it matters to a lot people especially people that is battling breast cancer it can help with their situation,104
self,s387,climate change leading to more bigger problems,99
social,s390,they will provide the two big climate meeting that is used the food waste.,11
self,s394,effects of global warming,15
social,s395,This article is about to switch a Green Energy Provider,83
social,s396,Treat eating disorders to help.,96
social,s399,A floating trash zone is much larger than originally believed and is growing at an exponential rate.,79
social,s400,Can statins use increase skin infection?,80
self,s401,Of course even myself felt that the walking depends on the person with whom we are walking,36
self,s402,It's about how the world has been changed because of people keeps to work and stay at home,33
social,s403,multiple aspects lead to you being immune or not to the flu/cold,100
social,s406,It is about how eating more meat leads to higher chances of breast cancer in the study/studies they are citing.,52
self,s411,now a condition most of the people were effected in diabetes and it is very dangerous disease effects on energy regulation hormones at normal human consumption levels,4
self,s412,the article give information about  california and new york have sued oil and gas giants,105
self,s414,The article is suggesting readers to help the Earth by consuming less but also is trying to educate about government shutdown and climate change.,31
self,s415,this is strange. all strive for records,62
self,s418,This matters to me personally because I need to know what G.M.Os are and I should study them.,102
self,s419,earth had its hottest june this year,91
social,s420,It makes a great issue of climate change. Burning coal will make a risk to future.,43
self,s421,Working out and doing cardio like cycling professionals do probably does keep you biologically younger.,18
self,s422,A carbon emissions proposal failed due to the objections of countries that are heavily dependent on coal.,41
social,s423,We all need to get on board with solutions for clean energy.,1
self,s425,This article describes how to cope with a drought with respect to the potential for fires.,17
self,s432,This article is about climate change and how scientists are trying to expose a fabricated blog about polar bears.,77
self,s434,Deli meats is produced to the cancer .,28
social,s435,The differences experiences throught the lossing weight process due to  individual biological differences.,78
social,s436,Shift gears are necessary things on climate change.,71
self,s437,health is wealth so low calorie food like eat maintain our body level,108
self,s439,"This unfortunately is a sad view into a society, that cares more about themselves than other people living on this planet.",103
social,s442,babies should only be fed breastmilk until 6 months under current guidelines.,44
self,s444,This article matters to me personally because of the champions coal that won in national elections,21
self,s445,conservation bill makes the statement,19
self,s446,Being overweight can lead to cancer.,54
social,s448,"This article is about a study which suggests a correlation between physical fitness and reduced rates of Dementia, in middle aged women.",34
self,s449,This article describes the risk of statins.,80
self,s450,"I do tend to eat deli meats at least weekly, so it is slightly relevant.",28
social,s453,this is health issues details so this article matters to people you know.,50
social,s454,Skipping breakfast as weight loss strategy.,0
self,s456,Special treatment for obesity,74
self,s457,The US blocked the Artic Council's ability to issue a joint declaration regarding climate change.,35
social,s460,My father and others I know are avid skiing fans so the preservation of snow would interest them greatly.,5
social,s462,"Everyone wants cleaner air, right?",107
social,s463,this would encourage them to use other reuseable bags,55
social,s466,It matters to people I know because these storms can damage their homes or kill them.,15
social,s467,Electric cars are helpful for global to reduce the global warming.,73
social,s470,Most of the people i know recycle so it would matter to them to know where its going and if it is really being recycled.,49
self,s471,An article about climate change causing more avalanches that are bigger and what to expect in the future.,45
social,s473,it's about diet for people with a high in gluten,66
self,s475,laws to reduce climate change were voted on in the election,75
self,s478,There are more diseases spreading across. But there is not much information about it and how to cure it.,88
social,s479,That since 1950 we had generate 8 billion tons of plastic that has been impactful to our environment,67
self,s481,"If kids play it helps the US save money, presumably because of health benefits of activity",12
self,s482,"This article is about how you can do brief sets of exercises targeting different areas of your body so that you can get into shape and gain muscle tone with short, 13-minute exercise sessions.",48
self,s483,"As a husband of a woman with an eating disorder, all I want to do is help! I just wish I knew how",96
social,s485,Express weight training,48
self,s487,It feels me better understanding,57
social,s488,fuel efficiency rules for automobiles pushed back by lobbies,29
self,s490,Coal is a dirty fuel and should be used less.,43
social,s492,Exercise such as cycling is proven to keep us younger and healthier longer.,18
self,s493,Moving around is good for the brain and your age,14
social,s494,This article about hearing loss message...this activity is serious injuries,90
social,s495,This article matters to older family members of mine who have strong sweet-tooths and are also diabetic and over the age of 60,4
self,s496,"to prevent the plants , its god's gift",22
social,s497,"This is a summary (or a highlight, or a title) of an article about climate change and perhaps automakers and their expectations.",71
social,s498,A school program where children exercise before the day begins -- and hour of running and different games -- has results that indicate that participants are happier and more energetic throughout the day.,86
self,s499,"climate change is natural one ,we must make a pre-safety method for our protection",27
social,s502,This article is about sugar drinks and the health risks and negative effects on our bodies.,4
self,s504,This article is about how a heart monitor can make High-intensity interval training fun and easier for people to do.,58
social,s505,The article busted the myths about antioxidants that said will ease muscle soreness after exercise.,40
social,s506,A rare animal called the vaquita died because they were trying to capture and rehabilitate it so now there are only 30 left.,101
self,s507,its a danger to the ecosystem and natural rescources,79
self,s512,I work out and sometimes do these type of exercises,58
social,s513,This article explains how the election results will influence the future of a variety of climate change initiatives,75
self,s514,Good to know so I don't waste effort on this!,40
self,s515,Downside to going Gluten-free should be a disciplined by oneself.,66
social,s516,as i said before climate change is to learn by everybody and particularly about global warming,95
social,s517,It contains more information to me,5
self,s520,"This article matters to me because all lives matter, even animals. Weakening the law will kill off species that are endangered!",89
self,s522,Because I love to cook and to know what I'm putting into my body.,42
self,s526,Traveling less to save energy overall.,33
self,s527,I care about the wildlife in Fl even if I live in NJ,39
social,s529,Study suggests that a common gut bacterium may help obese people with metabolic disorders.,74
self,s530,meat is dangerous for health,50
social,s531,Because this applies to most of us living in the midwest.,54
self,s532,The reason we are traveling less is due to covid-19 and we are somewhat forced not to get out.,33
social,s533,This could help people I know to come up with new challenges in their workout routine.,62
self,s535,"This article matters to me because G.M.O's are a hot topic because more research should be done to determine their safety, and I want to be safe.",102
self,s537,Ancient Egyptian lifestyle could only make it for so long.  That way of life could not survive.,37
self,s538,Everyone focusing on using green energy in place of fossil fuels would greatly slow the damaging effects of climate change.,83
social,s540,"This matters to people i know because it shows that exercise can help keep your immune system in tip top shape, which is important given the corona virus situation.",18
social,s541,It matters because burning coal will harm the environment and my family as well as friends will be affected.,43
self,s543,US and its decision about climate change,35
self,s544,It is about the Immune system,100
social,s545,"Some think that climate change isn't real, please read these real stories from the front lines.",97
social,s546,I know women who eat processed meat and it is important to them because the shouldn't want to get cancer.,52
social,s547,It matters because some people are interested in history and would find it interesting to know how the pharaohs lived.,37
social,s548,People must knows the risk of developing staph infection.,80
social,s551,yes i think we can make improvement in our body and mind every time in the day,84
social,s552,This explains how climate change is affecting our world with rising water.,25
social,s553,Sugar is bad all around!,4
social,s554,"It makes our body fit,where most of the people of today don.t have the sufficient time to do so.",48
self,s555,fitness is very important for healthy body,34
social,s558,People want to be able to stop climate change.,5
social,s559,because it is very uselful to people,91
self,s561,Buy food on a regular basis to help prevent wastage.,20
social,s563,Everyone is always telling me how much worse red meat is for me and now science is proving them wrong.,50
social,s567,If plastic or papers bags are better.,57
self,s568,Climate change creates an greater impact for all people who were environmental friendly. I always prefer to protect our environment for our future generations.,83
social,s570,This article matters to people I know because it is in an online article.,5
social,s571,Young people absolutely need to continue to fight against climate change and I feel that taking it to the streets and/or a strike like this is one of the best means to do it.,27
self,s572,"The fear of being able to run and do similar activities may be less possible to people as they age, but it is much less steep than people fear. The decline in activity is unavoidable, but should not be feared and is less of a worry than most think.",76
social,s574,This article would matter mostly the people I know because of the holiday food waste mention.  not so much about climate issues.,11
social,s575,I am an aspirational recycler.,69
self,s576,"Luck, genetics, and lifestyle are the items that help determine how you handle sickness.",100
self,s577,Artificial Intelligence is helping researchers predict and treat cancer.,104
social,s578,"Exercise such as walking or dancing is very beneficial for the brain, especially as we age. Socializing is also important.",14
social,s581,These vegan foods are good for health,26
social,s582,You can help the Earth by consuming less in 2021,31
self,s583,it`s good to here even ancient people having some adoptive nature to survive on disasters.,37
self,s584,Sugary drinks are a huge boon to health and quitting can bring a lot of health improvements.,94
self,s587,I'm all about saving snow.,5
self,s588,This article is about climate change deniers and where they get their information.,77
self,s589,"When agencies acting on behalf of government start suing businesses, my prices go up on what I purchase.",105
social,s592,This has been known for years and doctors keep prescribing them.,80
social,s593,"Today the people more care about our environment, for the things it may be ensure about environment.",79
social,s594,Its about the regulations in Australian coal mine .,21
self,s595,Using antioxidants to ease soreness of the muscle after a rigorous exercise.,40
social,s598,"This article matters to people I know because not eating healthy, smoking, being stressed and lack of exercise is something all of them do. This will help them learn how to turn all of that around and possibly prevent them from having a heart attack in the future",84
social,s599,smoking is not good for health,16
self,s600,Hearing loss impacts motor skills,90
social,s602,It is about drilling for oil in Alaska.,61
social,s606,Sugary drinks are non benefit to people life.,32
self,s608,increasing wildfires and their implications,7
social,s610,A farmer's shopping with chef Tom Colicchio about avoid wasting food.,20
social,s613,Climate Change is affecting the entire world and everyone needs to know about it,27
self,s615,advantages of eating sea food,30
self,s616,I very like to the climate. so we have meet in climate forms.,11
social,s618,My grandfather was obese and it led to the health issues that made him pass.,74
self,s619,Because obesity is now a days very important for human living.,106
self,s620,Great information on how to possibly improve and extend my life,84
self,s621,Nuclear power has its advantages and disadvantages as alternate power.,51
self,s622,A proposal to reduce the 28 country bloc's net carbon emission failed,41
social,s623,i will recommend to take Gluten contain foods.,66
self,s624,"Even though there are a lot of disaters, the billions of money for recovery are not being spent. Govt aid is too slow.",13
social,s626,Article is about benefits of vitamin During pregnancy.,60
social,s627,Protecting the environment is important.,19
self,s628,This article is very important to me.Because I always add tomatto and spinach in my dish,42
self,s629,As a citizen I too will be affected.,29
self,s630,The article is about switching to green energy provider,83
social,s631,"People with eating disorders need help from partners, but partners are apparently clueless.",96
social,s634,This matters because saving energy can help save the environment.,33
self,s635,Flavanoid rich foods lower chances of cancer and cardiovascular death.,22
self,s636,I wonder if my children would have had less cavities had I taken higher doses of Vitamin D during my pregnancies.,60
self,s638,Which gives more energy while playing between those two?,68
social,s639,Help the environment and seek out an environmentally beneficial energy provider. And climate week is upon us.,83
self,s640,I have personally known to climate change of this year...,97
self,s001,"If you skip breakfast before you workout,  it could help you lose weight.",0
self,s002,fruits and vegetables are good for healthy life,64
social,s003,Seems to be a rundown of an interview with an oceanographer.,71
social,s004,Lets start getting those kids outside for a while; once we shift to universal healthcare it will help drop the price tag significantly.,12
social,s005,"Lifestyle changes, such as quit smoking, exercise more, dealing with stress and more can help stabilize and clear up plaque, unclog arteries and protect your heart health.",84
social,s008,This talks about some of the factors that increase the risk of developing Parkinson's Disease,82
self,s009,I am a health conscious young person who follows plant based diet,64
social,s010,Lawmakers want to weaken the aspects of the Endangered Species Act,89
social,s012,People who are against GMO's don't know much about them according to a new study.,102
self,s014,A judge threw out a lawsuit that Exxon filed to protect itself against an investigation.,3
social,s015,Keeping people working at an industry that is doomed to fail eventually for pure profit is terrible and will cost our world a great deal in the end.,43
social,s017,The article highlights important sites that are likely to be affected by global warming.,85
social,s018,Most people know someone who are dealing with this issue and it can be useful so we can know how to assist others in this situation. It is informative.,96
self,s019,This article is about the negative impact of sports like cycling. It says that these low-impact sports could be harmful to bones.,98
self,s020,Companies see some high monetary risks related to climate change.,87
self,s021,This article is about what happens to the nutrients in tomatoes and spinach when they are cooked.,42
social,s024,This is an article about ways plants offer good preventative care for some ailments.,22
social,s025,This article matters to people I know because they are going to have to deal with the impacts of climate change in their lives.,109
social,s028,This article relates to my known people as it is about breast cancer which is usually a women's problem,104
self,s030,Higher in cholesterol in the  body may risk in skin infection so people taking statins to reduce the infection .,80
social,s031,Storing of Coal in Australia,43
self,s032,This article is important to me because it emphasizes the importance of flavonoid-rich foods for health.,22
self,s036,Heat has come from climate change.,97
social,s037,about climate control,83
social,s038,The importance of Vitamin D with pregnant women and health in general for babies.,60
self,s040,It is relate to me because of my civil obedience.,65
social,s041,This article is about encouraging people to work out or exercise to promote a healthy body and lifestyle so they can live longer.,56
social,s042,Although it is widely understood that an active life style can lead to a healthy life the study concludes that a sedentary lifestyle is the equivalent.,16
self,s043,"Land conservation is important in certain circumstances.  The chicken little tactics need to stop, though.",19
social,s045,this article is about the growing problem of waste that is filling up our oceans and harming our planet and animals in the water.,79
self,s046,it is very useful by using only limited plastic and made recycle the plastic we use,55
self,s048,Avalaches triggered by climate change have scientists worried.,45
social,s049,Sports without much pressure on bones may not be good for them.,98
self,s051,Age related declines in our activity levels might not be as bad as we think they'll be.,76
self,s052,Since I don't believe Climate Change is man made I am disapointed by the judge in this article.,3
social,s053,Eliminating sugary drinks is effective in improving health.,94
self,s054,"It is very important topic in our life. We should follow Diet, smoking cessation, stress management and exercise. So we can reduce our heart attach chances.",84
social,s055,Climate change could cause climate-related crises in the future.,99
self,s056,It means the fight against climate change will get harder for us activists.,103
self,s057,Climate change is very important to me and we need to do whatever it takes to stop global warming. It is not in the US's best interest to interfere into other countries talk on  this important matter.,35
self,s058,Information about floods.,25
social,s062,This article is about how red and white meat both have the same amount of bad cholesterol.,50
self,s063,I do have a vested interest in not dying.,22
self,s064,sugary drinks are very bad for you,32
social,s065,"This article is about how a gut bacteria produced by running makes mice run faster, and possibly humans.",72
social,s066,The climate could damage the GDP,9
self,s067,Endangered Species Act being gutted and protections being thrown out.,89
social,s068,I don't really know anyone worried about the climate. My social circle is a bit lower on the ladder than people who worry about these things.,83
self,s069,How sleep apnea can kill you.,106
self,s070,This is showing how obesity can cause a lot of problems especially with your heart.,108
social,s072,This article matters to people I know because they know how terrible coal is for the world,21
social,s073,This article matters because leaders not fixing climate change could affect people that I know.,41
social,s074,My knowledge on GMO's and how it affects my view on it,102
social,s075,kids fat is little bit happy,92
self,s076,how to stop wasting food around the holidays,11
social,s078,This matters because all of that garbage will eventually stark impacting all of us if we don't do something about it.,79
social,s079,not really that important,101
self,s080,I want to be healthy and so I try to avoid things that could damage my body.,46
social,s081,people are debating about climate change...again,77
self,s082,This matters to me personally because I am environmentally conscious and know the dangers of burning coal. I would be interested in what the author has to say on the matter.,43
social,s083,"As the climate changes, more heritage sites are being affected.",85
self,s084,the senate is ordering environmental protection,19
social,s085,"If people are vegans, they need to avoid eating certain foods or they'll get gout.",26
self,s086,The claim of global warming and what it could bring to the future can affect my life or my child's life in the future.,15
self,s089,Getting exercise can help you retain your youthfulness.,18
social,s090,"How to deal with floods, climate change and staying safe when flooding happens.",25
social,s092,"If people don't do actions, everybody will be harmed eventually.",89
self,s093,Using A.I to transform breast care,104
self,s095,"diet recommendations to avoid getting kidney stones include:  calcium-rich foods, drinking fluids, and less sodium",46
social,s097,This is a story about how losing one's wealth doesn't mean you have to lose satisfaction in life.,70
social,s099,Do you think grandma's distaste for bacon is her secret way of staying healthy?,52
social,s100,"This article matters to people I know because wasting food is such a bummer, and this article will help avoid that!",20
self,s101,"High-sugar beverages contribute to disease, shortening lifespan.",32
social,s103,It matters because parents need their sleep and just 17 minutes could help. So by feeding them solid foods they get a little extra sleep supposedly.,44
self,s104,This matters to me because I am worried about global warming and the impact that higher temperatures will have on the global environment.,91
self,s106,This article matters because I am interested in exercising.,58
social,s108,About how to deal with raging fires.,17
social,s110,Flood is most dangerous to all livees...,25
self,s111,I exercise regularly and enjoy the benefits of doing so.,56
self,s112,Being healthy is important to me. I want to help my future family to be healthy the best that I can.,92
self,s113,Its about how important historic places are being killed by global warning and they have few years left.,85
social,s114,"Earth had it's hottest June on record, according to European experts.",91
social,s115,Alot of my friends and family are overweight and out of shape. This tool could help them get healthy.,58
social,s116,The more sugar you eat and drink the more you life draws closer to the end. This infor can helpe people corrrent a bad standard.,32
social,s117,the study makes perfect knowledge,63
self,s118,"With more and more reason to stay inside, we need to show children that exercise should be achieved regardless.",12
self,s119,"Wildfires are suddenly happening everywhere, just like they always have.",7
social,s120,Plastics are a burden on the earth and on our environment,67
self,s121,A person and their grandmother found ways to make their money count on food.,70
social,s122,European scientists believe that global warming is real and U.S. scientists will also soon,91
social,s123,This article is about the health consequences of excessive consumption of sugary drinks.,4
self,s124,This article is about how wildfires are made worse by grasses.,63
social,s125,I know some people who do cook a lot and are looking to eat healthier,42
social,s126,there should be a individual approach to doctor personally for better sources,24
self,s127,"most of the people likes weight loss, because of beauty",6
self,s130,This article is about coal and how it will affect Australia and the risks associated with continued coal use.,43
self,s132,Weight loss means more than reducing what you eat,8
social,s133,There is a reason kids can't make their own decisions until they're 18.,92
social,s134,"I know people living in the Midwest and given all the other expenses they have, I doubt they have coverage for this since it seems so rare.",53
social,s136,"This article is about the dangers of dietary supplements, especially to those under age 25, and how it might affect you directly in a negative way.",10
social,s137,There is a direct link between the cholesterol medication Statin and the development of developing staph skin infections.,80
social,s139,"Climate change is real, and it could effect us more than anyone may have previously thought.",99
social,s140,How rising temperatures are affecting people,97
self,s141,Global warming is an important topic for discussion,15
self,s143,Tomatoes and Spinach can boost nutrients.,42
self,s145,How partners can help one another with eating disorders.,96
self,s146,The article is describing a strike that young adults and children are participating in.,109
self,s147,Many Americans affected by natural disasters aren't receiving financial support from the government quick enough and the problem seems to be getting worse.,13
self,s149,Happy to visit McDonald's with my Grandmom,70
social,s150,It's about Statins and a link between skin infections.,80
self,s151,Protection of our resources should be protected and honored,19
social,s153,People I know care about the environment.,67
self,s155,This article matters to me because I'm not on a gluten-free diet.,66
social,s156,Because they are using sports drinks and there is a better way to get the carbs they need to exercise and heal.,68
self,s157,The Article say disasters multiply.,13
social,s159,IMPACTS IN CITY DUE TO HEAT,27
self,s160,This is important because we humans would like to keep our body healthy and not have any diseases,46
self,s161,THE ARTICLE MATTERS TO ME PERSONALLY BECAUSE THE OLYMPIC SKIER KNOWN FOR ME WANTS TO SAVE THE WORLD'S SNOW BY OURSELVES,5
social,s163,Interesting headline. Probably ought to read because of the prevalence of cancer in most of our lives and our love of deli meats over pre-packaged meat.,28
